Faction	TaskLevel	TaskStep	TaskName	TaskRequirements	TaskPosition	TaskAward
 Hoa S¬n	40	10	V©n Tö Tr¾c Thu B×nh (2/4)	§Õn Ph­îng T­êng t×m «ng chñ tiÖm t¹p hãa hái th«ng tin vÒ cê tinh x¶o	ThÈm MÆc (987/179/185), «ng chñ tiÖm t¹p hãa Ph­îng T­êng (1/195/200)	Kü n¨ng cÊp 40 ph¸i Hoa S¬n
 Hoa S¬n	40	20	V©n Tö Tr¾c Thu B×nh (3/4)	§i ®Õn chç cña L­u Viªn Ngo¹i ë Ph­îng T­êng ®Ó hái vÒ th«ng tin cña cê, tr¶ lêi ®óng 3 c©u hái	ThÈm MÆc (987/179/185), «ng chñ tiÖm t¹p hãa Ph­îng T­êng (1/195/200), L­u Viªn Ngo¹i (1/199/207)	Kü n¨ng cÊp 40 ph¸i Hoa S¬n
 Hoa S¬n	40	60	V©n Tö Tr¾c Thu B×nh (4/4)	VÒ l¹i ph¸i Hoa S¬n ®em V©n Tö Tr¾c Thu B×nh nép cho ThÈm MÆc	ThÈm MÆc (987/179/185), «ng chñ tiÖm t¹p hãa Ph­îng T­êng (1/195/200), L­u Viªn Ngo¹i (1/199/207)	Kü n¨ng cÊp 40 ph¸i Hoa S¬n
 Hoa S¬n	50	0	VÜnh L¹c Phong V©n (1/5)	§èi tho¹i víi LËn H¹o Thiªn cña ph¸i Hoa S¬n ®Ó nhËn nhiÖm vô m«n ph¸i Hoa S¬n cÊp 50	LËn H¹o Thiªn (987/170/191)	Kü n¨ng cÊp 50 ph¸i Hoa S¬n
 Hoa S¬n	50	10	VÜnh L¹c Phong V©n (2/5)	§Õn VÜnh L¹c trÊn ®èi tho¹i víi Hoµng Thóc, §æng §¹i Thóc vµ Th­ Bµ Bµ ®Ó t×m hiÓu t×nh h×nh	LËn H¹o Thiªn (987/170/191), Hoµng Thóc (99/203/198), §æng §¹i Thóc (99/198/200), Th­ Bµ Bµ (99/205/206)	Kü n¨ng cÊp 50 ph¸i Hoa S¬n
 Hoa S¬n	50	20	VÜnh L¹c Phong V©n (3/5)	§i ®Õn ®éng Kim Quang, kÝch s¸t S¬n PhØ vµ lÊy l¹i 3 phÇn tµi s¶n cña d©n lµng	LËn H¹o Thiªn (987/170/191), Hoµng Thóc (99/203/198), §æng §¹i Thóc (99/198/200), Th­ Bµ Bµ (99/205/206), S¬n PhØ (4/202/192)	Kü n¨ng cÊp 50 ph¸i Hoa S¬n
 Hoa S¬n	50	30	VÜnh L¹c Phong V©n (4/5)	VÒ l¹i VÜnh L¹c trÊn ®em tµi s¶n  tr¶ cho Hoµng Thóc, §æng §¹i Thóc, Th­ Bµ Bµ	LËn H¹o Thiªn (987/170/191), Hoµng Thóc (99/203/198), §æng §¹i Thóc (99/198/200), Th­ Bµ Bµ (99/205/206), S¬n PhØ (4/202/192)	Kü n¨ng cÊp 50 ph¸i Hoa S¬n
 Hoa S¬n	50	40	VÜnh L¹c Phong V©n (5/5)	VÒ l¹i ph¸i Hoa S¬n phôc mÖnh víi LËn H¹o Thiªn	LËn H¹o Thiªn (987/170/191), Hoµng Thóc (99/203/198), §æng §¹i Thóc (99/198/200), Th­ Bµ Bµ (99/205/206), S¬n PhØ (4/202/192)	Kü n¨ng cÊp 50 ph¸i Hoa S¬n
 Hoa S¬n	60	0	NhiÖm vô XuÊt S­ - CÈm nang nghiÖm ch©n tri (1/10)	§èi tho¹i víi Nam Cung TuyÖt cña ph¸i Hoa S¬n ®Ó nhËn nhiÖm vô XuÊt S­ Hoa S¬n	Nam Cung TuyÖt (987/177/191)	XuÊt S­, 120 ®iÓm Danh Väng
 Hoa S¬n	60	10	NhiÖm vô XuÊt S­ - CÈm nang nghiÖm ch©n tri (2/10)	Xem cÈm nang	Nam Cung TuyÖt (987/177/191)	XuÊt S­, 120 ®iÓm Danh Väng
 Hoa S¬n	60	20	NhiÖm vô XuÊt S­ - CÈm nang nghiÖm ch©n tri (3/10)	§i ®Õn chç ¢n KiÕm Thu cña ph¸i Hoa S¬n hç trî vµ gióp söa ThÇn KiÕm	Nam Cung TuyÖt (987/177/191), ¢n KiÕm Thu (987/171/182)	XuÊt S­, 120 ®iÓm Danh Väng
 Hoa S¬n	60	30	NhiÖm vô XuÊt S­ - CÈm nang nghiÖm ch©n tri (4/10)	§Õn ®éng TuyÕt B¸o kÝch s¸t §iÕu T×nh B¹ch Hæ lÊy m¸u B¹ch Hæ	Nam Cung TuyÖt (987/177/191), ¢n KiÕm Thu (987/171/182), §iÕu T×nh B¹ch Hæ (145/191/207)	XuÊt S­, 120 ®iÓm Danh Väng
 Hoa S¬n	60	40	NhiÖm vô XuÊt S­ - CÈm nang nghiÖm ch©n tri (5/10)	VÒ l¹i ph¸i Hoa S¬n ®em m¸u B¹ch Hæ giao cho ¢n KiÕm Thu	Nam Cung TuyÖt (987/177/191), ¢n KiÕm Thu (987/171/182), §iÕu T×nh B¹ch Hæ (145/191/207)	XuÊt S­, 120 ®iÓm Danh Väng
 Hoa S¬n	60	50	NhiÖm vô XuÊt S­ - CÈm nang nghiÖm ch©n tri (6/10)	Xem cÈm nang	Nam Cung TuyÖt (987/177/191), ¢n KiÕm Thu (987/171/182), §iÕu T×nh B¹ch Hæ (145/191/207)	XuÊt S­, 120 ®iÓm Danh Väng
 Hoa S¬n	60	60	NhiÖm vô XuÊt S­ - CÈm nang nghiÖm ch©n tri (7/10)	§Õn th¸c n­íc phÝa sau nói ph¸i Hoa S¬n ®Ó tÞnh t©m	Nam Cung TuyÖt (987/177/191), ¢n KiÕm Thu (987/171/182), §iÕu T×nh B¹ch Hæ (145/191/207), th¸c n­íc (987/184/177)	XuÊt S­, 120 ®iÓm Danh Väng
 Hoa S¬n	60	70	NhiÖm vô XuÊt S­ - CÈm nang nghiÖm ch©n tri (8/10)	Xem cÈm nang	Nam Cung TuyÖt (987/177/191), ¢n KiÕm Thu (987/171/182), §iÕu T×nh B¹ch Hæ (145/191/207), th¸c n­íc (987/184/177)	XuÊt S­, 120 ®iÓm Danh Väng
 Hoa S¬n	60	80	NhiÖm vô XuÊt S­ - CÈm nang nghiÖm ch©n tri (9/10)	§i ®Õn KiÕm C¸c T©y Nam kÝch s¸t ph¶n ®å ph¸i Hoa S¬n Khóc V« H×nh	Nam Cung TuyÖt (987/177/191), ¢n KiÕm Thu (987/171/182), §iÕu T×nh B¹ch Hæ (145/191/207), th¸c n­íc (987/184/177), Khóc V« H×nh (19/430/227)	XuÊt S­, 120 ®iÓm Danh Väng
 Hoa S¬n	60	90	NhiÖm vô XuÊt S­ - CÈm nang nghiÖm ch©n tri (10/10)	VÒ l¹i ph¸i Hoa S¬n phôc mÖnh víi Nam Cung TuyÖt	Nam Cung TuyÖt (987/177/191), ¢n KiÕm Thu (987/171/182), §iÕu T×nh B¹ch Hæ (145/191/207), th¸c n­íc (987/184/177), Khóc V« H×nh (19/430/227)	XuÊt S­, 120 ®iÓm Danh Väng
