Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6
Sa Di phôc	10	1	56	\spr\item\equip\armor\obj-fm-cloth01-1_0.spr	22	2	2	T¨ng y ®­îc n÷ ni c« míi nhËp m«n sö dông	0	0	10	0	31	300	300																			36	1	38	1														
C«n L­ Y	10	1	57	\spr\item\equip\armor\obj-fm-cloth02-1_0.spr	22	2	2	N÷ ni th­îng y	0	0	10	0	31	300	300																			36	1	38	1														
Minh TÞnh Y	10	1	58	\spr\item\equip\armor\obj-fm-cloth03-2_0.spr	22	2	2	Trang phôc sö dông th­êng ngµy cña ni c« ®¾c ®¹o	0	0	10	0	31	300	300																			36	1	38	1														
tu Ch©n Y	10	1	59	\spr\item\equip\armor\obj-fm-cloth04-1_0.spr	24	2	2	Y phôc th­êng nhËt cña c¸c n÷ ®¹o sÜ. 	0	0	10	0	31	300	300																			36	1	38	1														
V« Cùc Y	10	1	60	\spr\item\equip\armor\obj-fm-cloth05-3_0.spr	24	2	2	§¹i thµnh v« dông, ®¹i ®¹o v« cùc. 	0	0	10	0	31	300	300																			36	1	38	1														
B¨ng TÇm Y	10	1	61	\spr\item\equip\armor\obj-fm-cloth06-2_0.spr	24	2	2	T¬ cña B¨ng Tµm kÕt thµnh, ng­êi mÆc vµo cèt c¸ch nh­ thÇn tiªn	0	0	10	0	31	300	300																			36	1	38	1														
Thôc CÈm y	10	1	62	\spr\item\equip\armor\obj-fm-cloth07-3_0.spr	24	2	2	Dïng thôc cÈm chÕ t¸c, nh­ da r¾n dÝnh trªn ng­êi, hµnh ®éng linh ho¹t, cã chót mª lùc	0	0	10	0	31	300	300																			36	1	38	1														
HuyÒn Ly y	10	1	63	\spr\item\equip\armor\obj-fm-cloth08-1_0.spr	24	2	2	N÷ phôc, ®­îc may b»ng da r¸i c¸. 	0	0	10	0	31	300	300																			36	1	38	1														
Cöu VÜ B¹ch Hå trang	10	1	64	\spr\item\equip\armor\obj-fm-cloth09-3_0.spr	28	2	2	§­îc may tõ ®u«i cña 9 con Hå Ly tinh, mÆc vµo n¨ng lùc v« song	0	0	10	0	31	300	300																			36	1	38	1														
Y NØ Th­êng	10	1	65	\spr\item\equip\armor\obj-fm-cloth10-1_0.spr	24	2	2	Y phôc ®Ñp nh­ hoa t­¬i cña n÷ ®¹o sÜ. 	0	0	10	0	31	300	300																			36	1	38	1														
Tèng CÈm Sam	10	1	66	\spr\item\equip\armor\obj-fm-cloth11-3_0.spr	24	2	2	Lµ lo¹i y phôc ®­îc chÕ thµnh tõ nhiÒu lo¹i th¶o ®Þa næi tiÕng ë T« Ch©u. 	0	0	10	0	31	300	300																			36	1	38	1														
L¨ng La sam	10	1	67	\spr\item\equip\armor\obj-fm-cloth12-2_0.spr	24	2	2	Dïng toµn lµ nh÷ng th¶o d­îc quý chÕ thµnh, ®Ñp ®Ï l¹ kú. 	0	0	10	0	31	300	300																			36	1	38	1														
Thanh Phông Sam	10	1	68	\spr\item\equip\armor\obj-fm-cloth13-1_0.spr	25	2	2	Lµ ¸o gi¸p cña n÷, ®­îc kÕt b»ng ngh÷ng miÕng ®ång xanh, cã kh¶ n¨ng phßng ngù cùc tèt. 	0	0	10	0	31	300	300																			36	1	38	1														
Hång NhÜ gi¸p	10	1	69	\spr\item\equip\armor\obj-fm-cloth14-1_0.spr	25	2	2	Lµ lo¹i ¸o gi¸p cao cÊp cña c¸c n÷ t­íng. 	0	0	10	0	31	300	300																			36	1	38	1														
HuyÒn ThiÕt Gi¸p	10	1	70	\spr\item\equip\armor\obj-fm-cloth15-2_0.spr	25	2	2	Lµ lo¹i gi¸p kÕt hîp ThiÕt vµ B¹c, c¸c n÷ t­íng th­êng rÊt thÝch dïng. 	0	0	10	0	31	300	300																			36	1	38	1														
Ma Y	10	1	71	\spr\item\equip\armor\obj-fm-cloth16-1_0.spr	24	2	2	Lµ lo¹i ¸o ®­îc lµm tõ vá c©y Ma thô. 	0	0	10	0	31	300	300																			36	1	38	1														
Thiªn bæ y	10	1	72	\spr\item\equip\armor\obj-fm-cloth17-1_0.spr	24	2	2	Lo¹i ¸o ®­îc may tõ v« sè ¸o cò r¸ch kh¸c, dµy vµ Êm. 	0	0	10	0	31	300	300																			36	1	38	1														
Ph©n §iÖp Sam	10	1	73	\spr\item\equip\armor\obj-fm-cloth18-3_0.spr	24	2	2	ThÓ hiÖn tinh thÇn ®oµn kÕt cña C¸i bang, trªn d­íi ®ång lßng, viÖc g× còng xong. 	0	0	10	0	31	300	300																			36	1	38	1														
NguyÖt Hoa quÇn	10	1	74	\spr\item\equip\armor\obj-fm-cloth20-3_0.spr	24	2	2	DÖt b»ng l«ng §æng T­íc, võa cao quý võa cã tÝnh n¨ng b¶o vÖ. 	0	0	10	0	31	300	300																			36	1	38	1														
B¸ch Phong TriÒu D­¬ng quÇn	10	1	75	\spr\item\equip\armor\obj-fm-cloth21-2_0.spr	24	2	2	¸nh s¸ng huyÒn diÖu nh­ buæi chiÒu tµ. 	0	0	10	0	31	300	300																			36	1	38	1														
KhÊp §Þa quÇn	10	1	76	\spr\item\equip\armor\obj_fm_lf_001_0.spr	41	2	2	Lµ lo¹i ¸o dµi th­êng thÊy, s¾c th¸i uy phong, t­îng tr­ng cho sù cao quý. 	0	0	10	0	31	300	300																			36	1	38	1														
B¨ng Tinh QuÇn	10	1	77	\spr\item\equip\armor\obj_fm_lf_002_0.spr	41	2	2	Lo¹i ¸o dµi n÷ t­íng thÝch mÆc, thÓ hiÖn vÎ ®Ñp nhu m× hoµn mü cña n÷ tÝnh. 	0	0	10	0	31	300	300																			36	1	38	1														
