装备名称	刀盾站立1	盾刀站立1	空手站立1	空手站立2	空手站立3	短武器站立	长武器站立	双武器站立	刀盾武器站立	盾刀武器站立	琴战斗站立	琴非战斗站立	空手走路	普通走路	短武器走路	长武器走路	双武器走路	刀盾武器走路	盾刀武器走路	琴走路	空手跑步	普通跑步	短武器跑步	长武器跑步	双武器跑步	刀盾武器跑步	盾刀武器跑步	琴武器跑步	空手受伤	短武器受伤	长武器受伤	双武器受伤	刀盾武器受伤	盾刀武器受伤	琴武器受伤	空手死亡	短武器死亡	长武器死亡	双武器死亡	刀盾武器死亡	盾刀武器死亡	琴武器死亡	空手攻击	短武器刺	短武器砍	长武器戳	长武器劈	双武器划	双武器砸	刀盾武器划	刀盾武器砍	盾刀武器划	盾刀武器砍	琴武器攻击1	琴武器攻击2	暗器投掷	空手魔法	短武器魔法	长武器魔法	双武器魔法	刀盾武器魔法	盾刀武器魔法	琴武器魔法	打坐	跳跃	骑马站立	骑马走动	骑马跑步	骑马攻击劈	骑马攻击刺	骑马魔法	骑马受伤	骑马死亡	骑马站立1	骑马站立2
躯体11	MA_SH_011_ST01.spr	MA_SH_011_ST01.spr	MA_SH_011_ST01.spr	MA_SH_011_ST02.spr	MA_SH_011_ST03.spr	MA_SH_011_ST04.spr	MA_SH_011_ST05.spr	MA_SH_011_ST06.spr					MA_SH_011_WK01.spr	MA_SH_011_WK01.spr	MA_SH_011_WK02.spr	MA_SH_011_WK03.spr	MA_SH_011_WK04.spr				MA_SH_011_RN01.spr	MA_SH_011_RN01.spr	MA_SH_011_RN02.spr	MA_SH_011_RN03.spr	MA_SH_011_RN04.spr				MA_SH_011_IJ01.spr	MA_SH_011_IJ02.spr	MA_SH_011_IJ03.spr	MA_SH_011_IJ04.spr				MA_SH_011_DE01.spr	MA_SH_011_DE02.spr	MA_SH_011_DE03.spr	MA_SH_011_DE04.spr				MA_SH_011_AT01.spr	MA_SH_011_AT02.spr	MA_SH_011_AT03.spr	MA_SH_011_AT04.spr	MA_SH_011_AT05.spr	MA_SH_011_AT06.spr	MA_SH_011_AT07.spr							MA_SH_011_MG01.spr	MA_SH_011_MG02.spr	MA_SH_011_MG03.spr	MA_SH_011_MG04.spr	MA_SH_011_MG05.spr				MA_SH_011_ZZ01.spr	MA_SH_011_JP01.spr	MA_SH_011_RD01.spr	MA_SH_011_HW01.spr	MA_SH_011_HR01.spr	MA_SH_011_HA01.spr	MA_SH_011_HA02.spr	MA_SH_011_HM01.spr	MA_SH_011_HI01.spr	MA_SH_011_HD01.spr	MA_SH_011_RD01.spr	MA_SH_011_RD01.spr
躯体12	MA_SH_012_ST01.spr	MA_SH_012_ST01.spr	MA_SH_012_ST01.spr	MA_SH_012_ST02.spr	MA_SH_012_ST03.spr	MA_SH_012_ST04.spr	MA_SH_012_ST05.spr	MA_SH_012_ST06.spr					MA_SH_012_WK01.spr	MA_SH_012_WK01.spr	MA_SH_012_WK02.spr	MA_SH_012_WK03.spr	MA_SH_012_WK04.spr				MA_SH_012_RN01.spr	MA_SH_012_RN01.spr	MA_SH_012_RN02.spr	MA_SH_012_RN03.spr	MA_SH_012_RN04.spr				MA_SH_012_IJ01.spr	MA_SH_012_IJ02.spr	MA_SH_012_IJ03.spr	MA_SH_012_IJ04.spr				MA_SH_012_DE01.spr	MA_SH_012_DE02.spr	MA_SH_012_DE03.spr	MA_SH_012_DE04.spr				MA_SH_012_AT01.spr	MA_SH_012_AT02.spr	MA_SH_012_AT03.spr	MA_SH_012_AT04.spr	MA_SH_012_AT05.spr	MA_SH_012_AT06.spr	MA_SH_012_AT07.spr							MA_SH_012_MG01.spr	MA_SH_012_MG02.spr	MA_SH_012_MG03.spr	MA_SH_012_MG04.spr	MA_SH_012_MG05.spr				MA_SH_012_ZZ01.spr	MA_SH_012_JP01.spr	MA_SH_012_RD01.spr	MA_SH_012_HW01.spr	MA_SH_012_HR01.spr	MA_SH_012_HA01.spr	MA_SH_012_HA02.spr	MA_SH_012_HM01.spr	MA_SH_012_HI01.spr	MA_SH_012_HD01.spr	MA_SH_012_RD01.spr	MA_SH_012_RD01.spr
躯体13	MA_SH_013_ST01.spr	MA_SH_013_ST01.spr	MA_SH_013_ST01.spr	MA_SH_013_ST02.spr	MA_SH_013_ST03.spr	MA_SH_013_ST04.spr	MA_SH_013_ST05.spr	MA_SH_013_ST06.spr					MA_SH_013_WK01.spr	MA_SH_013_WK01.spr	MA_SH_013_WK02.spr	MA_SH_013_WK03.spr	MA_SH_013_WK04.spr				MA_SH_013_RN01.spr	MA_SH_013_RN01.spr	MA_SH_013_RN02.spr	MA_SH_013_RN03.spr	MA_SH_013_RN04.spr				MA_SH_013_IJ01.spr	MA_SH_013_IJ02.spr	MA_SH_013_IJ03.spr	MA_SH_013_IJ04.spr				MA_SH_013_DE01.spr	MA_SH_013_DE02.spr	MA_SH_013_DE03.spr	MA_SH_013_DE04.spr				MA_SH_013_AT01.spr	MA_SH_013_AT02.spr	MA_SH_013_AT03.spr	MA_SH_013_AT04.spr	MA_SH_013_AT05.spr	MA_SH_013_AT06.spr	MA_SH_013_AT07.spr							MA_SH_013_MG01.spr	MA_SH_013_MG02.spr	MA_SH_013_MG03.spr	MA_SH_013_MG04.spr	MA_SH_013_MG05.spr				MA_SH_013_ZZ01.spr	MA_SH_013_JP01.spr	MA_SH_013_RD01.spr	MA_SH_013_HW01.spr	MA_SH_013_HR01.spr	MA_SH_013_HA01.spr	MA_SH_013_HA02.spr	MA_SH_013_HM01.spr	MA_SH_013_HI01.spr	MA_SH_013_HD01.spr	MA_SH_013_RD01.spr	MA_SH_013_RD01.spr
躯体14	MA_SH_014_ST01.spr	MA_SH_014_ST01.spr	MA_SH_014_ST01.spr	MA_SH_014_ST02.spr	MA_SH_014_ST03.spr	MA_SH_014_ST04.spr	MA_SH_014_ST05.spr	MA_SH_014_ST06.spr					MA_SH_014_WK01.spr	MA_SH_014_WK01.spr	MA_SH_014_WK02.spr	MA_SH_014_WK03.spr	MA_SH_014_WK04.spr				MA_SH_014_RN01.spr	MA_SH_014_RN01.spr	MA_SH_014_RN02.spr	MA_SH_014_RN03.spr	MA_SH_014_RN04.spr				MA_SH_014_IJ01.spr	MA_SH_014_IJ02.spr	MA_SH_014_IJ03.spr	MA_SH_014_IJ04.spr				MA_SH_014_DE01.spr	MA_SH_014_DE02.spr	MA_SH_014_DE03.spr	MA_SH_014_DE04.spr				MA_SH_014_AT01.spr	MA_SH_014_AT02.spr	MA_SH_014_AT03.spr	MA_SH_014_AT04.spr	MA_SH_014_AT05.spr	MA_SH_014_AT06.spr	MA_SH_014_AT07.spr							MA_SH_014_MG01.spr	MA_SH_014_MG02.spr	MA_SH_014_MG03.spr	MA_SH_014_MG04.spr	MA_SH_014_MG05.spr				MA_SH_014_ZZ01.spr	MA_SH_014_JP01.spr	MA_SH_014_RD01.spr	MA_SH_014_HW01.spr	MA_SH_014_HR01.spr	MA_SH_014_HA01.spr	MA_SH_014_HA02.spr	MA_SH_014_HM01.spr	MA_SH_014_HI01.spr	MA_SH_014_HD01.spr	MA_SH_014_RD01.spr	MA_SH_014_RD01.spr
躯体15	MA_SH_015_ST01.spr	MA_SH_015_ST01.spr	MA_SH_015_ST01.spr	MA_SH_015_ST02.spr	MA_SH_015_ST03.spr	MA_SH_015_ST04.spr	MA_SH_015_ST05.spr	MA_SH_015_ST06.spr					MA_SH_015_WK01.spr	MA_SH_015_WK01.spr	MA_SH_015_WK02.spr	MA_SH_015_WK03.spr	MA_SH_015_WK04.spr				MA_SH_015_RN01.spr	MA_SH_015_RN01.spr	MA_SH_015_RN02.spr	MA_SH_015_RN03.spr	MA_SH_015_RN04.spr				MA_SH_015_IJ01.spr	MA_SH_015_IJ02.spr	MA_SH_015_IJ03.spr	MA_SH_015_IJ04.spr				MA_SH_015_DE01.spr	MA_SH_015_DE02.spr	MA_SH_015_DE03.spr	MA_SH_015_DE04.spr				MA_SH_015_AT01.spr	MA_SH_015_AT02.spr	MA_SH_015_AT03.spr	MA_SH_015_AT04.spr	MA_SH_015_AT05.spr	MA_SH_015_AT06.spr	MA_SH_015_AT07.spr							MA_SH_015_MG01.spr	MA_SH_015_MG02.spr	MA_SH_015_MG03.spr	MA_SH_015_MG04.spr	MA_SH_015_MG05.spr				MA_SH_015_ZZ01.spr	MA_SH_015_JP01.spr	MA_SH_015_RD01.spr	MA_SH_015_HW01.spr	MA_SH_015_HR01.spr	MA_SH_015_HA01.spr	MA_SH_015_HA02.spr	MA_SH_015_HM01.spr	MA_SH_015_HI01.spr	MA_SH_015_HD01.spr	MA_SH_015_RD01.spr	MA_SH_015_RD01.spr
躯体16	MA_SH_016_ST01.spr	MA_SH_016_ST01.spr	MA_SH_016_ST01.spr	MA_SH_016_ST02.spr	MA_SH_016_ST03.spr	MA_SH_016_ST04.spr	MA_SH_016_ST05.spr	MA_SH_016_ST06.spr					MA_SH_016_WK01.spr	MA_SH_016_WK01.spr	MA_SH_016_WK02.spr	MA_SH_016_WK03.spr	MA_SH_016_WK04.spr				MA_SH_016_RN01.spr	MA_SH_016_RN01.spr	MA_SH_016_RN02.spr	MA_SH_016_RN03.spr	MA_SH_016_RN04.spr				MA_SH_016_IJ01.spr	MA_SH_016_IJ02.spr	MA_SH_016_IJ03.spr	MA_SH_016_IJ04.spr				MA_SH_016_DE01.spr	MA_SH_016_DE02.spr	MA_SH_016_DE03.spr	MA_SH_016_DE04.spr				MA_SH_016_AT01.spr	MA_SH_016_AT02.spr	MA_SH_016_AT03.spr	MA_SH_016_AT04.spr	MA_SH_016_AT05.spr	MA_SH_016_AT06.spr	MA_SH_016_AT07.spr							MA_SH_016_MG01.spr	MA_SH_016_MG02.spr	MA_SH_016_MG03.spr	MA_SH_016_MG04.spr	MA_SH_016_MG05.spr				MA_SH_016_ZZ01.spr	MA_SH_016_JP01.spr	MA_SH_016_RD01.spr	MA_SH_016_HW01.spr	MA_SH_016_HR01.spr	MA_SH_016_HA01.spr	MA_SH_016_HA02.spr	MA_SH_016_HM01.spr	MA_SH_016_HI01.spr	MA_SH_016_HD01.spr	MA_SH_016_RD01.spr	MA_SH_016_RD01.spr
躯体17	MA_SH_017_ST01.spr	MA_SH_017_ST01.spr	MA_SH_017_ST01.spr	MA_SH_017_ST02.spr	MA_SH_017_ST03.spr	MA_SH_017_ST04.spr	MA_SH_017_ST05.spr	MA_SH_017_ST06.spr					MA_SH_017_WK01.spr	MA_SH_017_WK01.spr	MA_SH_017_WK02.spr	MA_SH_017_WK03.spr	MA_SH_017_WK04.spr				MA_SH_017_RN01.spr	MA_SH_017_RN01.spr	MA_SH_017_RN02.spr	MA_SH_017_RN03.spr	MA_SH_017_RN04.spr				MA_SH_017_IJ01.spr	MA_SH_017_IJ02.spr	MA_SH_017_IJ03.spr	MA_SH_017_IJ04.spr				MA_SH_017_DE01.spr	MA_SH_017_DE02.spr	MA_SH_017_DE03.spr	MA_SH_017_DE04.spr				MA_SH_017_AT01.spr	MA_SH_017_AT02.spr	MA_SH_017_AT03.spr	MA_SH_017_AT04.spr	MA_SH_017_AT05.spr	MA_SH_017_AT06.spr	MA_SH_017_AT07.spr							MA_SH_017_MG01.spr	MA_SH_017_MG02.spr	MA_SH_017_MG03.spr	MA_SH_017_MG04.spr	MA_SH_017_MG05.spr				MA_SH_017_ZZ01.spr	MA_SH_017_JP01.spr	MA_SH_017_RD01.spr	MA_SH_017_HW01.spr	MA_SH_017_HR01.spr	MA_SH_017_HA01.spr	MA_SH_017_HA02.spr	MA_SH_017_HM01.spr	MA_SH_017_HI01.spr	MA_SH_017_HD01.spr	MA_SH_017_RD01.spr	MA_SH_017_RD01.spr
躯体18	MA_SH_018_ST01.spr	MA_SH_018_ST01.spr	MA_SH_018_ST01.spr	MA_SH_018_ST02.spr	MA_SH_018_ST03.spr	MA_SH_018_ST04.spr	MA_SH_018_ST05.spr	MA_SH_018_ST06.spr					MA_SH_018_WK01.spr	MA_SH_018_WK01.spr	MA_SH_018_WK02.spr	MA_SH_018_WK03.spr	MA_SH_018_WK04.spr				MA_SH_018_RN01.spr	MA_SH_018_RN01.spr	MA_SH_018_RN02.spr	MA_SH_018_RN03.spr	MA_SH_018_RN04.spr				MA_SH_018_IJ01.spr	MA_SH_018_IJ02.spr	MA_SH_018_IJ03.spr	MA_SH_018_IJ04.spr				MA_SH_018_DE01.spr	MA_SH_018_DE02.spr	MA_SH_018_DE03.spr	MA_SH_018_DE04.spr				MA_SH_018_AT01.spr	MA_SH_018_AT02.spr	MA_SH_018_AT03.spr	MA_SH_018_AT04.spr	MA_SH_018_AT05.spr	MA_SH_018_AT06.spr	MA_SH_018_AT07.spr							MA_SH_018_MG01.spr	MA_SH_018_MG02.spr	MA_SH_018_MG03.spr	MA_SH_018_MG04.spr	MA_SH_018_MG05.spr				MA_SH_018_ZZ01.spr	MA_SH_018_JP01.spr	MA_SH_018_RD01.spr	MA_SH_018_HW01.spr	MA_SH_018_HR01.spr	MA_SH_018_HA01.spr	MA_SH_018_HA02.spr	MA_SH_018_HM01.spr	MA_SH_018_HI01.spr	MA_SH_018_HD01.spr	MA_SH_018_RD01.spr	MA_SH_018_RD01.spr
躯体19	MA_SH_019_ST01.spr	MA_SH_019_ST01.spr	MA_SH_019_ST01.spr	MA_SH_019_ST02.spr	MA_SH_019_ST03.spr	MA_SH_019_ST04.spr	MA_SH_019_ST05.spr	MA_SH_019_ST06.spr					MA_SH_019_WK01.spr	MA_SH_019_WK01.spr	MA_SH_019_WK02.spr	MA_SH_019_WK03.spr	MA_SH_019_WK04.spr				MA_SH_019_RN01.spr	MA_SH_019_RN01.spr	MA_SH_019_RN02.spr	MA_SH_019_RN03.spr	MA_SH_019_RN04.spr				MA_SH_019_IJ01.spr	MA_SH_019_IJ02.spr	MA_SH_019_IJ03.spr	MA_SH_019_IJ04.spr				MA_SH_019_DE01.spr	MA_SH_019_DE02.spr	MA_SH_019_DE03.spr	MA_SH_019_DE04.spr				MA_SH_019_AT01.spr	MA_SH_019_AT02.spr	MA_SH_019_AT03.spr	MA_SH_019_AT04.spr	MA_SH_019_AT05.spr	MA_SH_019_AT06.spr	MA_SH_019_AT07.spr							MA_SH_019_MG01.spr	MA_SH_019_MG02.spr	MA_SH_019_MG03.spr	MA_SH_019_MG04.spr	MA_SH_019_MG05.spr				MA_SH_019_ZZ01.spr	MA_SH_019_JP01.spr	MA_SH_019_RD01.spr	MA_SH_019_HW01.spr	MA_SH_019_HR01.spr	MA_SH_019_HA01.spr	MA_SH_019_HA02.spr	MA_SH_019_HM01.spr	MA_SH_019_HI01.spr	MA_SH_019_HD01.spr	MA_SH_019_RD01.spr	MA_SH_019_RD01.spr
躯体20	MA_SH_020_ST01.spr	MA_SH_020_ST01.spr	MA_SH_020_ST01.spr	MA_SH_020_ST02.spr	MA_SH_020_ST03.spr	MA_SH_020_ST04.spr	MA_SH_020_ST05.spr	MA_SH_020_ST06.spr					MA_SH_020_WK01.spr	MA_SH_020_WK01.spr	MA_SH_020_WK02.spr	MA_SH_020_WK03.spr	MA_SH_020_WK04.spr				MA_SH_020_RN01.spr	MA_SH_020_RN01.spr	MA_SH_020_RN02.spr	MA_SH_020_RN03.spr	MA_SH_020_RN04.spr				MA_SH_020_IJ01.spr	MA_SH_020_IJ02.spr	MA_SH_020_IJ03.spr	MA_SH_020_IJ04.spr				MA_SH_020_DE01.spr	MA_SH_020_DE02.spr	MA_SH_020_DE03.spr	MA_SH_020_DE04.spr				MA_SH_020_AT01.spr	MA_SH_020_AT02.spr	MA_SH_020_AT03.spr	MA_SH_020_AT04.spr	MA_SH_020_AT05.spr	MA_SH_020_AT06.spr	MA_SH_020_AT07.spr							MA_SH_020_MG01.spr	MA_SH_020_MG02.spr	MA_SH_020_MG03.spr	MA_SH_020_MG04.spr	MA_SH_020_MG05.spr				MA_SH_020_ZZ01.spr	MA_SH_020_JP01.spr	MA_SH_020_RD01.spr	MA_SH_020_HW01.spr	MA_SH_020_HR01.spr	MA_SH_020_HA01.spr	MA_SH_020_HA02.spr	MA_SH_020_HM01.spr	MA_SH_020_HI01.spr	MA_SH_020_HD01.spr	MA_SH_020_RD01.spr	MA_SH_020_RD01.spr
躯体21	MA_SH_021_ST01.spr	MA_SH_021_ST01.spr	MA_SH_021_ST01.spr	MA_SH_021_ST02.spr	MA_SH_021_ST03.spr	MA_SH_021_ST04.spr	MA_SH_021_ST05.spr	MA_SH_021_ST06.spr					MA_SH_021_WK01.spr	MA_SH_021_WK01.spr	MA_SH_021_WK02.spr	MA_SH_021_WK03.spr	MA_SH_021_WK04.spr				MA_SH_021_RN01.spr	MA_SH_021_RN01.spr	MA_SH_021_RN02.spr	MA_SH_021_RN03.spr	MA_SH_021_RN04.spr				MA_SH_021_IJ01.spr	MA_SH_021_IJ02.spr	MA_SH_021_IJ03.spr	MA_SH_021_IJ04.spr				MA_SH_021_DE01.spr	MA_SH_021_DE02.spr	MA_SH_021_DE03.spr	MA_SH_021_DE04.spr				MA_SH_021_AT01.spr	MA_SH_021_AT02.spr	MA_SH_021_AT03.spr	MA_SH_021_AT04.spr	MA_SH_021_AT05.spr	MA_SH_021_AT06.spr	MA_SH_021_AT07.spr							MA_SH_021_MG01.spr	MA_SH_021_MG02.spr	MA_SH_021_MG03.spr	MA_SH_021_MG04.spr	MA_SH_021_MG05.spr				MA_SH_021_ZZ01.spr	MA_SH_021_JP01.spr	MA_SH_021_RD01.spr	MA_SH_021_HW01.spr	MA_SH_021_HR01.spr	MA_SH_021_HA01.spr	MA_SH_021_HA02.spr	MA_SH_021_HM01.spr	MA_SH_021_HI01.spr	MA_SH_021_HD01.spr	MA_SH_021_RD01.spr	MA_SH_021_RD01.spr
躯体22	MA_SH_001_ST01.spr	MA_SH_001_ST01.spr	MA_SH_001_ST01.spr	MA_SH_001_ST02.spr	MA_SH_001_ST03.spr	MA_SH_001_ST04.spr	MA_SH_001_ST05.spr	MA_SH_001_ST06.spr					MA_SH_001_WK01.spr	MA_SH_001_WK01.spr	MA_SH_001_WK02.spr	MA_SH_001_WK03.spr	MA_SH_001_WK04.spr				MA_SH_001_RN01.spr	MA_SH_001_RN01.spr	MA_SH_001_RN02.spr	MA_SH_001_RN03.spr	MA_SH_001_RN04.spr				MA_SH_001_IJ01.spr	MA_SH_001_IJ02.spr	MA_SH_001_IJ03.spr	MA_SH_001_IJ04.spr				MA_SH_001_DE01.spr	MA_SH_001_DE02.spr	MA_SH_001_DE03.spr	MA_SH_001_DE04.spr				MA_SH_001_AT01.spr	MA_SH_001_AT02.spr	MA_SH_001_AT03.spr	MA_SH_001_AT04.spr	MA_SH_001_AT05.spr	MA_SH_001_AT06.spr	MA_SH_001_AT07.spr							MA_SH_001_MG01.spr	MA_SH_001_MG02.spr	MA_SH_001_MG03.spr	MA_SH_001_MG04.spr	MA_SH_001_MG05.spr				MA_SH_001_ZZ01.spr	MA_SH_001_JP01.spr	MA_SH_001_RD01.spr	MA_SH_001_HW01.spr	MA_SH_001_HR01.spr	MA_SH_001_HA01.spr	MA_SH_001_HA02.spr	MA_SH_001_HM01.spr	MA_SH_001_HI01.spr	MA_SH_001_HD01.spr	MA_SH_001_RD01.spr	MA_SH_001_RD01.spr
躯体23	MA_SH_002_ST01.spr	MA_SH_002_ST01.spr	MA_SH_002_ST01.spr	MA_SH_002_ST02.spr	MA_SH_002_ST03.spr	MA_SH_002_ST04.spr	MA_SH_002_ST05.spr	MA_SH_002_ST06.spr					MA_SH_002_WK01.spr	MA_SH_002_WK01.spr	MA_SH_002_WK02.spr	MA_SH_002_WK03.spr	MA_SH_002_WK04.spr				MA_SH_002_RN01.spr	MA_SH_002_RN01.spr	MA_SH_002_RN02.spr	MA_SH_002_RN03.spr	MA_SH_002_RN04.spr				MA_SH_002_IJ01.spr	MA_SH_002_IJ02.spr	MA_SH_002_IJ03.spr	MA_SH_002_IJ04.spr				MA_SH_002_DE01.spr	MA_SH_002_DE02.spr	MA_SH_002_DE03.spr	MA_SH_002_DE04.spr				MA_SH_002_AT01.spr	MA_SH_002_AT02.spr	MA_SH_002_AT03.spr	MA_SH_002_AT04.spr	MA_SH_002_AT05.spr	MA_SH_002_AT06.spr	MA_SH_002_AT07.spr							MA_SH_002_MG01.spr	MA_SH_002_MG02.spr	MA_SH_002_MG03.spr	MA_SH_002_MG04.spr	MA_SH_002_MG05.spr				MA_SH_002_ZZ01.spr	MA_SH_002_JP01.spr	MA_SH_002_RD01.spr	MA_SH_002_HW01.spr	MA_SH_002_HR01.spr	MA_SH_002_HA01.spr	MA_SH_002_HA02.spr	MA_SH_002_HM01.spr	MA_SH_002_HI01.spr	MA_SH_002_HD01.spr	MA_SH_002_RD01.spr	MA_SH_002_RD01.spr
躯体24	MA_SH_003_ST01.spr	MA_SH_003_ST01.spr	MA_SH_003_ST01.spr	MA_SH_003_ST02.spr	MA_SH_003_ST03.spr	MA_SH_003_ST04.spr	MA_SH_003_ST05.spr	MA_SH_003_ST06.spr					MA_SH_003_WK01.spr	MA_SH_003_WK01.spr	MA_SH_003_WK02.spr	MA_SH_003_WK03.spr	MA_SH_003_WK04.spr				MA_SH_003_RN01.spr	MA_SH_003_RN01.spr	MA_SH_003_RN02.spr	MA_SH_003_RN03.spr	MA_SH_003_RN04.spr				MA_SH_003_IJ01.spr	MA_SH_003_IJ02.spr	MA_SH_003_IJ03.spr	MA_SH_003_IJ04.spr				MA_SH_003_DE01.spr	MA_SH_003_DE02.spr	MA_SH_003_DE03.spr	MA_SH_003_DE04.spr				MA_SH_003_AT01.spr	MA_SH_003_AT02.spr	MA_SH_003_AT03.spr	MA_SH_003_AT04.spr	MA_SH_003_AT05.spr	MA_SH_003_AT06.spr	MA_SH_003_AT07.spr							MA_SH_003_MG01.spr	MA_SH_003_MG02.spr	MA_SH_003_MG03.spr	MA_SH_003_MG04.spr	MA_SH_003_MG05.spr				MA_SH_003_ZZ01.spr	MA_SH_003_JP01.spr	MA_SH_003_RD01.spr	MA_SH_003_HW01.spr	MA_SH_003_HR01.spr	MA_SH_003_HA01.spr	MA_SH_003_HA02.spr	MA_SH_003_HM01.spr	MA_SH_003_HI01.spr	MA_SH_003_HD01.spr	MA_SH_003_RD01.spr	MA_SH_003_RD01.spr
躯体25	MA_SH_004_ST01.spr	MA_SH_004_ST01.spr	MA_SH_004_ST01.spr	MA_SH_004_ST02.spr	MA_SH_004_ST03.spr	MA_SH_004_ST04.spr	MA_SH_004_ST05.spr	MA_SH_004_ST06.spr					MA_SH_004_WK01.spr	MA_SH_004_WK01.spr	MA_SH_004_WK02.spr	MA_SH_004_WK03.spr	MA_SH_004_WK04.spr				MA_SH_004_RN01.spr	MA_SH_004_RN01.spr	MA_SH_004_RN02.spr	MA_SH_004_RN03.spr	MA_SH_004_RN04.spr				MA_SH_004_IJ01.spr	MA_SH_004_IJ02.spr	MA_SH_004_IJ03.spr	MA_SH_004_IJ04.spr				MA_SH_004_DE01.spr	MA_SH_004_DE02.spr	MA_SH_004_DE03.spr	MA_SH_004_DE04.spr				MA_SH_004_AT01.spr	MA_SH_004_AT02.spr	MA_SH_004_AT03.spr	MA_SH_004_AT04.spr	MA_SH_004_AT05.spr	MA_SH_004_AT06.spr	MA_SH_004_AT07.spr							MA_SH_004_MG01.spr	MA_SH_004_MG02.spr	MA_SH_004_MG03.spr	MA_SH_004_MG04.spr	MA_SH_004_MG05.spr				MA_SH_004_ZZ01.spr	MA_SH_004_JP01.spr	MA_SH_001_RD01.spr	MA_SH_001_HW01.spr	MA_SH_001_HR01.spr	MA_SH_001_HA01.spr	MA_SH_001_HA02.spr	MA_SH_001_HM01.spr	MA_SH_001_HI01.spr	MA_SH_001_HD01.spr	MA_SH_001_RD01.spr	MA_SH_001_RD01.spr
躯体26	MA_SH_005_ST01.spr	MA_SH_005_ST01.spr	MA_SH_005_ST01.spr	MA_SH_005_ST02.spr	MA_SH_005_ST03.spr	MA_SH_005_ST04.spr	MA_SH_005_ST05.spr	MA_SH_005_ST06.spr					MA_SH_005_WK01.spr	MA_SH_005_WK01.spr	MA_SH_005_WK02.spr	MA_SH_005_WK03.spr	MA_SH_005_WK04.spr				MA_SH_005_RN01.spr	MA_SH_005_RN01.spr	MA_SH_005_RN02.spr	MA_SH_005_RN03.spr	MA_SH_005_RN04.spr				MA_SH_005_IJ01.spr	MA_SH_005_IJ02.spr	MA_SH_005_IJ03.spr	MA_SH_005_IJ04.spr				MA_SH_005_DE01.spr	MA_SH_005_DE02.spr	MA_SH_005_DE03.spr	MA_SH_005_DE04.spr				MA_SH_005_AT01.spr	MA_SH_005_AT02.spr	MA_SH_005_AT03.spr	MA_SH_005_AT04.spr	MA_SH_005_AT05.spr	MA_SH_005_AT06.spr	MA_SH_005_AT07.spr							MA_SH_005_MG01.spr	MA_SH_005_MG02.spr	MA_SH_005_MG03.spr	MA_SH_005_MG04.spr	MA_SH_005_MG05.spr				MA_SH_005_ZZ01.spr	MA_SH_005_JP01.spr	MA_SH_002_RD01.spr	MA_SH_002_HW01.spr	MA_SH_002_HR01.spr	MA_SH_002_HA01.spr	MA_SH_002_HA02.spr	MA_SH_002_HM01.spr	MA_SH_002_HI01.spr	MA_SH_002_HD01.spr	MA_SH_002_RD01.spr	MA_SH_002_RD01.spr
躯体27	MA_SH_006_ST01.spr	MA_SH_006_ST01.spr	MA_SH_006_ST01.spr	MA_SH_006_ST02.spr	MA_SH_006_ST03.spr	MA_SH_006_ST04.spr	MA_SH_006_ST05.spr	MA_SH_006_ST06.spr					MA_SH_006_WK01.spr	MA_SH_006_WK01.spr	MA_SH_006_WK02.spr	MA_SH_006_WK03.spr	MA_SH_006_WK04.spr				MA_SH_006_RN01.spr	MA_SH_006_RN01.spr	MA_SH_006_RN02.spr	MA_SH_006_RN03.spr	MA_SH_006_RN04.spr				MA_SH_006_IJ01.spr	MA_SH_006_IJ02.spr	MA_SH_006_IJ03.spr	MA_SH_006_IJ04.spr				MA_SH_006_DE01.spr	MA_SH_006_DE02.spr	MA_SH_006_DE03.spr	MA_SH_006_DE04.spr				MA_SH_006_AT01.spr	MA_SH_006_AT02.spr	MA_SH_006_AT03.spr	MA_SH_006_AT04.spr	MA_SH_006_AT05.spr	MA_SH_006_AT06.spr	MA_SH_006_AT07.spr							MA_SH_006_MG01.spr	MA_SH_006_MG02.spr	MA_SH_006_MG03.spr	MA_SH_006_MG04.spr	MA_SH_006_MG05.spr				MA_SH_006_ZZ01.spr	MA_SH_006_JP01.spr	MA_SH_003_RD01.spr	MA_SH_003_HW01.spr	MA_SH_003_HR01.spr	MA_SH_003_HA01.spr	MA_SH_003_HA02.spr	MA_SH_003_HM01.spr	MA_SH_003_HI01.spr	MA_SH_003_HD01.spr	MA_SH_003_RD01.spr	MA_SH_003_RD01.spr
