EqType	FightStand	NormalStand1	NormalStand2	FightWalk	NormalWalk	FightRun	NormalRun	Wound	Die	Attack1	Attack2	Magic	SitDown	JunpFly
星霜之拂穴缠手														
星霜之千香宝刀														
星霜之彩韵鸳鸯刀														
星霜之蟾飞缠手														
星霜之附骨血刃														
星霜之冷血飞刀														
星霜之怒莲袖箭														
星霜之追命飞镖														
星霜之勐龙缠手														
星霜之破虏杖														
星霜之炼日枪														
星霜之酷炎宝刀														
星霜之震山神剑														
星霜之君威神剑														
星霜之冥雷宝刀														
星霜之轰鸣神剑														
星霜之昊天剑														
星霜之清虚剑														
月阙之重劫缠手														
月阙之杀劫法棍														
月阙之破劫戒刀														
月阙之奋武神锤														
月阙之烽烟枪														
月阙之长空宝刀														
月阙之惊鸿宝剑														
月阙之晓月缠手														
月阙之相思宝刀														
月阙之风月鸳鸯刀														
月阙之百毒缠手														
月阙之幽冥血刃														
月阙之催命飞刀														
月阙之秘毒袖箭														
月阙之蔓荼飞镖														
月阙之赤龙缠手														
月阙之豪杰杖														
月阙之贪狼枪														
月阙之烈阳宝刀														
月阙之灵动神剑														
月阙之幻影神剑														
月阙之凌风宝刀														
月阙之沐雨神剑														
月阙之清风冠														
月阙之逸影冠														
耀阳之梦龙缠手														
耀阳之伏魔法棍														
耀阳之四空戒刀														
耀阳之撼天神锤														
耀阳之继业枪														
耀阳之御龙宝刀														
耀阳之无间宝剑														
耀阳之无魇缠手														
耀阳之栖凰宝刀														
耀阳之碧海鸳鸯刀														
耀阳之幽胧缠手														
耀阳之冥幻血刃														
耀阳之冰寒飞刀														
耀阳之天光袖箭														
耀阳之森荒飞镖														
耀阳之同仇缠手														
耀阳之敌忾杖														
耀阳之魔煞枪														
耀阳之魔煌宝刀														
耀阳之凌岳神剑														
耀阳之及丰神剑														
耀阳之霜晶宝刀														
耀阳之雷穹神剑														
耀阳之浮云剑														
耀阳之冲云剑														
英豪之梦龙缠手														
英豪之伏魔法棍														
英豪之四空戒刀														
英豪之撼天神锤														
英豪之继业枪														
英豪之御龙宝刀														
英豪之无间宝剑														
英豪之无魇缠手														
英豪之栖凰宝刀														
英豪之碧海鸳鸯刀														
英豪之幽胧缠手														
英豪之冥幻血刃														
英豪之冰寒飞刀														
英豪之天光袖箭														
英豪之森荒飞镖														
英豪之同仇缠手														
英豪之敌忾杖														
英豪之魔煞枪														
英豪之魔煌宝刀														
英豪之凌岳神剑														
英豪之及丰神剑														
英豪之霜晶宝刀														
英豪之雷穹神剑														
英豪之浮云剑														
英豪之冲云剑														
天命之梦龙缠手														
天命之伏魔法棍														
天命之四空戒刀														
天命之撼天神锤														
天命之继业枪														
天命之御龙宝刀														
天命之无间宝剑														
天命之无魇缠手														
天命之栖凰宝刀														
天命之碧海鸳鸯刀														
天命之幽胧缠手														
天命之冥幻血刃														
天命之冰寒飞刀														
天命之天光袖箭														
天命之森荒飞镖														
天命之同仇缠手														
天命之敌忾杖														
天命之魔煞枪														
天命之魔煌宝刀														
天命之凌岳神剑														
天命之及丰神剑														
天命之霜晶宝刀														
天命之雷穹神剑														
天命之浮云剑														
天命之冲云剑														
武魂武器刀1													156:160,190:191	156:160,190:191
武魂武器盾1													156:160,190:191	156:160,190:191
武魂武器刀2													156:160,190:191	156:160,190:191
武魂武器盾2													156:160,190:191	156:160,190:191
武魂月阙刀													156:160,190:191	156:160,190:191
武魂月阙盾													156:160,190:191	156:160,190:191
武魂日曜刀													156:160,190:191	156:160,190:191
武魂日曜盾													156:160,190:191	156:160,190:191
武魂新手武器刀													156:160,190:191	156:160,190:191
武魂新手武器盾													156:160,190:191	156:160,190:191
武魂英豪刀													156:160,190:191	156:160,190:191
武魂英豪盾													156:160,190:191	156:160,190:191
逍遥剑1														
逍遥剑2														
逍遥剑3														
逍遥剑4														
逍遥琴1													161:164,192:193	161:164,192:193
逍遥琴2													161:164,192:193	161:164,192:193
逍遥琴3													161:164,192:193	161:164,192:193
逍遥琴4													161:164,192:193	161:164,192:193
义侠之少林手														
义侠之少林棍														
义侠之少林刀														
义侠之天王锤														
义侠之天王枪														
义侠之天王刀														
义侠之峨眉剑														
义侠之峨眉手														
义侠之翠烟单刀														
义侠之翠烟双刀														
义侠之五毒手														
义侠之五毒刀														
义侠之唐门飞刀														
义侠之唐门袖箭														
义侠之唐门飞镖														
义侠之丐帮缠手														
义侠之丐帮杖														
义侠之天忍枪														
义侠之天忍刀														
义侠之武当剑														
义侠之武当剑														
义侠之昆仑刀														
义侠之昆仑剑														
义侠之华山剑														
义侠之华山剑														
义侠之武魂盾													156:160,190:191	156:160,190:191
义侠之武魂刀													156:160,190:191	156:160,190:191
义侠之逍遥琴													161:164,192:193	161:164,192:193
义侠之逍遥剑														
Null														
