TinhNang,MapId,DuongDan,TenLinux,TenJX1,MapListJX1_server,MapListJX1_client,WorldSet_GameServer,srv_fp_cache,wor_trong_pak_Linux,wor_trong_pak_JX1_server,wor_trong_pak_JX1_client
vuotai-so cap,466,特殊用地\杀手的试炼,Thách thức thời gian (Sơ cấp 3),Thách thức thời gian (S?cấp 3),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-so cap,467,特殊用地\杀手的试炼,Thách thức thời gian (Sơ cấp 4),Thách thức thời gian (S?cấp 4),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-so cap,468,特殊用地\杀手的试炼,Thách thức thời gian (Sơ cấp 5),Thách thức thời gian (S?cấp 5),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-so cap,469,特殊用地\杀手的试炼,Thách thức thời gian (Sơ cấp 6),Thách thức thời gian (S?cấp 6),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-so cap,470,特殊用地\杀手的试炼,Thách thức thời gian (Sơ cấp 7),Thách thức thời gian (S?cấp 7),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-so cap,471,特殊用地\杀手的试炼,Thách thức thời gian (Sơ cấp 8),Thách thức thời gian (S?cấp 8),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-so cap,472,特殊用地\杀手的试炼,Thử luyện tài nghệ (Sơ cấp 1),Th?luyện tài ngh?(S?cấp 1),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-so cap,473,特殊用地\杀手的试炼,Thử luyện tài nghệ (Sơ cấp 2),Th?luyện tài ngh?(S?cấp 2),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-so cap,474,特殊用地\杀手的试炼,Thử luyện tài nghệ (Sơ cấp 3),Th?luyện tài ngh?(S?cấp 3),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-so cap,475,特殊用地\杀手的试炼,Thử luyện tài nghệ (Sơ cấp 4),Th?luyện tài ngh?(S?cấp 4),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-so cap,476,特殊用地\杀手的试炼,Thử luyện tài nghệ (Sơ cấp 5),Th?luyện tài ngh?(S?cấp 5),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-so cap,477,特殊用地\杀手的试炼,Thử luyện tài nghệ (Sơ cấp 6),Th?luyện tài ngh?(S?cấp 6),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-so cap,478,特殊用地\杀手的试炼,Thử luyện tài nghệ (Sơ cấp 7),Th?luyện tài ngh?(S?cấp 7),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-so cap,479,特殊用地\杀手的试炼,Thử luyện tài nghệ (Sơ cấp 8),Th?luyện tài ngh?(S?cấp 8),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-cao cap,480,特殊用地\杀手的试炼,Thách thức thời gian (Cao cấp 1),Thách thức thời gian (Cao cấp 1),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-cao cap,481,特殊用地\杀手的试炼,Thách thức thời gian (Cao cấp 2),Thách thức thời gian (Cao cấp 2),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-cao cap,482,特殊用地\杀手的试炼,Thách thức thời gian (Cao cấp 3),Thách thức thời gian (Cao cấp 3),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-cao cap,483,特殊用地\杀手的试炼,Thách thức thời gian (Cao cấp 4),Thách thức thời gian (Cao cấp 4),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-cao cap,484,特殊用地\杀手的试炼,Thách thức thời gian (Cao cấp 5),Thách thức thời gian (Cao cấp 5),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-cao cap,485,特殊用地\杀手的试炼,Thách thức thời gian (Cao cấp 6),Thách thức thời gian (Cao cấp 6),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-cao cap,486,特殊用地\杀手的试炼,Thách thức thời gian (Cao cấp 7),Thách thức thời gian (Cao cấp 7),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-cao cap,487,特殊用地\杀手的试炼,Thách thức thời gian (Cao cấp 8),Thách thức thời gian (Cao cấp 8),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-cao cap,488,特殊用地\杀手的试炼,Thách thức thời gian (Cao cấp 9),Thách thức thời gian (Cao cấp 9),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-cao cap,489,特殊用地\杀手的试炼,Thách thức thời gian (Cao cấp 10),Thách thức thời gian (Cao cấp 10),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-cao cap,490,特殊用地\杀手的试炼,Thách thức thời gian (Cao cấp 11),Thách thức thời gian (Cao cấp 11),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-cao cap,491,特殊用地\杀手的试炼,Thách thức thời gian (Cao cấp 12),Thách thức thời gian (Cao cấp 12),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-cao cap,492,特殊用地\杀手的试炼,Thách thức thời gian (Cao cấp 13),Thách thức thời gian (Cao cấp 13),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-cao cap,493,特殊用地\杀手的试炼,Thách thức thời gian (Cao cấp 14),Thách thức thời gian (Cao cấp 14),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-cao cap,494,特殊用地\杀手的试炼,Thách thức thời gian (Cao cấp 15),Thách thức thời gian (Cao cấp 15),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-cao cap,495,特殊用地\杀手的试炼,Thách thức thời gian (Cao cấp 16),Thách thức thời gian (Cao cấp 16),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-mat phong,957,特殊用地\安期炼丹洞,Mật Phòng cửa ải,闯关密室,CO,CO,THIEU,"-(cache A*, tu sinh)",maps.pak,maps.pak,updatejx08.pak
vuotai-NPC dan nhap (769),1,西北南区\凤翔,Phượng Tường,Phượng Tường,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
vuotai-NPC dan nhap (769),11,西南北区\成都\成都,Thành Đô,Thành Đô,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
vuotai-NPC dan nhap (769),37,中原北区\汴京\汴京,Biện Kinh,Biện Kinh,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
vuotai-NPC dan nhap (769),78,中原南区\襄阳\襄阳,Tương Dương,Tương Dương,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
vuotai-NPC dan nhap (769),80,中原南区\扬州,Dương Châu,Dương Châu,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
vuotai-NPC dan nhap (769),162,西南南区\大理\大理府,Đại Lý phủ,Đại Lý,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
vuotai-NPC dan nhap (769),176,江南区\临安\临安,Lâm An,Lâm An,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
