DongTrongKillbossheadLua,NpcId,Level,MapId,X_o,Y_o,Camp,TenBoss,Boss?,DeathScript,TaskValue_1082
60,780,45,23,1866,3181,0,Bàng Vô Tĩnh,1,\\script\\task\\tollgate\\killer\\kill_level.lua,51
61,781,45,23,1770,3319,0,Lý Hoa Độ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,52
62,763,45,91,1539,3011,0,Thích ảnh Sa,1,\\script\\task\\tollgate\\killer\\kill_level.lua,53
63,777,45,91,1534,2785,0,Nguy Nhân Tử ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,54
64,778,45,91,1695,2972,0,Cố Viễn Khê ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,55
65,779,45,91,1660,3101,0,Tang Ninh Cốc,1,\\script\\task\\tollgate\\killer\\kill_level.lua,56
66,780,45,135,1740,2960,0,Diêm Tự Hữu,1,\\script\\task\\tollgate\\killer\\kill_level.lua,57
67,781,45,135,1812,3040,0,Đàm Thiên Bộc,1,\\script\\task\\tollgate\\killer\\kill_level.lua,58
68,763,45,135,1609,3097,0,Thạch Cố Kiều,1,\\script\\task\\tollgate\\killer\\kill_level.lua,59
69,777,45,135,1540,2902,0,ứng Thái Hiệp,1,\\script\\task\\tollgate\\killer\\kill_level.lua,60
72,764,55,12,1796,3172,0,Mạnh Đạp Hồng,1,\\script\\task\\tollgate\\killer\\kill_level.lua,61
73,782,55,12,1724,3113,0,Ân  Tức Hận,1,\\script\\task\\tollgate\\killer\\kill_level.lua,62
74,783,55,12,1703,3205,0,Hoắc Thanh Sương,1,\\script\\task\\tollgate\\killer\\kill_level.lua,63
75,784,55,12,1783,3272,0,Miên Tư Đạo,1,\\script\\task\\tollgate\\killer\\kill_level.lua,64
76,785,55,24,1796,3238,0,Tiếu Vọng Du,1,\\script\\task\\tollgate\\killer\\kill_level.lua,65
77,786,55,24,1903,3284,0,Cao Nãi Khoát,1,\\script\\task\\tollgate\\killer\\kill_level.lua,66
78,787,55,24,1955,3383,0,Mạnh Tử  Vũ ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,67
79,764,55,24,2065,3216,0,Đường Nghĩa Chi,1,\\script\\task\\tollgate\\killer\\kill_level.lua,68
80,782,55,42,1592,2932,0,Lâu Vi Thiện,1,\\script\\task\\tollgate\\killer\\kill_level.lua,69
81,783,55,42,1527,3161,0,Lỗ Tranh Tranh,1,\\script\\task\\tollgate\\killer\\kill_level.lua,70
82,784,55,42,1638,2994,0,Sử Tiêu sơn ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,71
83,785,55,42,1708,3114,0,Tây Môn Vô Giới,1,\\script\\task\\tollgate\\killer\\kill_level.lua,72
84,786,55,66,1725,3237,0,Giới Tình Chỉ ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,73
85,787,55,66,1699,3316,0,Lôi Huyễn Khách,1,\\script\\task\\tollgate\\killer\\kill_level.lua,74
86,764,55,66,1838,3237,0,Diệp Ngũ Long,1,\\script\\task\\tollgate\\killer\\kill_level.lua,75
87,782,55,66,1657,3196,0,Tiết Tiểu Bách,1,\\script\\task\\tollgate\\killer\\kill_level.lua,76
88,783,55,194,1723,3371,0,Mậu Tuất Nhung,1,\\script\\task\\tollgate\\killer\\kill_level.lua,77
89,784,55,194,1771,3213,0,Dương Diễm Quân,1,\\script\\task\\tollgate\\killer\\kill_level.lua,78
90,785,55,194,1538,3105,0,Du Tiêu Cường,1,\\script\\task\\tollgate\\killer\\kill_level.lua,79
91,786,55,194,1482,3467,0,Cô Dự  Tẩu,1,\\script\\task\\tollgate\\killer\\kill_level.lua,80
94,765,65,164,1787,3131,0,Uông  Thệ Thủy,1,\\script\\task\\tollgate\\killer\\kill_level.lua,81
95,788,65,164,1780,2938,0,Yến Lưu  Sanh,1,\\script\\task\\tollgate\\killer\\kill_level.lua,82
96,789,65,164,1723,3083,0,Tang Thương Hải,1,\\script\\task\\tollgate\\killer\\kill_level.lua,83
97,790,65,164,1571,3040,0,Bồ Thập Tam ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,84
98,791,65,117,1669,3011,0,Hậu  Khất Kiếm,1,\\script\\task\\tollgate\\killer\\kill_level.lua,85
99,792,65,117,1534,3118,0,Hậu Yến Tân,1,\\script\\task\\tollgate\\killer\\kill_level.lua,86
100,793,65,117,1660,3145,0,Thiệu Thất Sát,1,\\script\\task\\tollgate\\killer\\kill_level.lua,87
101,794,65,117,1685,3256,0,Du Vạn Lý ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,88
102,765,65,56,1466,3448,0,Cừu Duẫn Sam,1,\\script\\task\\tollgate\\killer\\kill_level.lua,89
103,765,65,56,1536,3389,0,Thượng Quan Chất,1,\\script\\task\\tollgate\\killer\\kill_level.lua,90
104,788,65,56,1505,3234,0,Tái Viễn Bạc,1,\\script\\task\\tollgate\\killer\\kill_level.lua,91
105,789,65,56,1631,3167,0,Tưởng Huyền Viễn,1,\\script\\task\\tollgate\\killer\\kill_level.lua,92
106,790,65,148,1539,3302,0,Khuất Lộc Vinh,1,\\script\\task\\tollgate\\killer\\kill_level.lua,93
107,791,65,148,1567,3283,0,Lô Quán Bắc ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,94
108,792,65,148,1599,3318,0,Giải Qui Nam ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,95
109,793,65,148,1628,3209,0,Tùng Vô ảnh,1,\\script\\task\\tollgate\\killer\\kill_level.lua,96
110,794,65,196,1533,3047,0,Tiễn Thê Thanh ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,97
111,765,65,196,1654,2953,0,Bạch Thương Nham,1,\\script\\task\\tollgate\\killer\\kill_level.lua,98
112,788,65,196,1774,3192,0,Biện Lưu Thiện,1,\\script\\task\\tollgate\\killer\\kill_level.lua,99
113,789,65,196,1662,3356,0,Thái Tinh Thần,1,\\script\\task\\tollgate\\killer\\kill_level.lua,100
116,766,75,123,1604,3210,0,Hạng Lệnh Ti,1,\\script\\task\\tollgate\\killer\\kill_level.lua,101
117,795,75,123,1706,3254,0,Tào Nhân  Phủ ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,102
118,796,75,123,1583,3375,0,Trình Phúc Ba,1,\\script\\task\\tollgate\\killer\\kill_level.lua,103
119,797,75,123,1554,3303,0,Đặng An Khuê ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,104
120,798,75,94,1670,3126,0,ứng  Tiêu Phong,1,\\script\\task\\tollgate\\killer\\kill_level.lua,105
121,799,75,94,1755,3170,0,Thương Triều Sương,1,\\script\\task\\tollgate\\killer\\kill_level.lua,106
122,800,75,94,1591,3251,0,Phùng Song Dực,1,\\script\\task\\tollgate\\killer\\kill_level.lua,107
123,801,75,94,1613,3041,0,Phó Khâu Tu,1,\\script\\task\\tollgate\\killer\\kill_level.lua,108
124,802,75,319,1663,3311,0,Lạc Long Hiền,1,\\script\\task\\tollgate\\killer\\kill_level.lua,109
125,766,75,319,1859,3273,0,Cổ Thanh Dương,1,\\script\\task\\tollgate\\killer\\kill_level.lua,110
126,795,75,319,1933,3642,0,Quan Thiên Vấn,1,\\script\\task\\tollgate\\killer\\kill_level.lua,111
127,796,75,319,1815,3419,0,Hạ Thiếu Hùng,1,\\script\\task\\tollgate\\killer\\kill_level.lua,112
128,797,75,72,1630,3121,0,Tô Cổ Ngâm,1,\\script\\task\\tollgate\\killer\\kill_level.lua,113
129,798,75,72,1807,3201,0,Hồ Nhất Lang,1,\\script\\task\\tollgate\\killer\\kill_level.lua,114
130,799,75,72,1590,3238,0,Hoàng Vạn Kiếp,1,\\script\\task\\tollgate\\killer\\kill_level.lua,115
131,800,75,72,1562,2986,0,Giang Trầm Nhạn ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,116
132,801,75,76,1655,3140,0,Cảnh Dung Phục,1,\\script\\task\\tollgate\\killer\\kill_level.lua,117
133,802,75,76,1590,3153,0,Khương Tự Dao,1,\\script\\task\\tollgate\\killer\\kill_level.lua,118
134,766,75,76,1835,3066,0,Khổng Dong Nhân,1,\\script\\task\\tollgate\\killer\\kill_level.lua,119
135,795,75,76,1614,3027,0,Lăng Tận Trung,1,\\script\\task\\tollgate\\killer\\kill_level.lua,120
138,767,85,201,1768,3200,0,Diệp ức Anh,1,\\script\\task\\tollgate\\killer\\kill_level.lua,121
139,803,85,201,1649,3184,0,Lạc Nhĩ Kim,1,\\script\\task\\tollgate\\killer\\kill_level.lua,122
140,804,85,201,1698,3320,0,Mạc Nam Trúc,1,\\script\\task\\tollgate\\killer\\kill_level.lua,123
141,805,85,201,1839,3365,0,Tần Tử Du,1,\\script\\task\\tollgate\\killer\\kill_level.lua,124
142,806,85,10,1750,2997,0,Cô Vô Thường,1,\\script\\task\\tollgate\\killer\\kill_level.lua,125
143,807,85,10,1849,3229,0,Liễu Tứ Gia,1,\\script\\task\\tollgate\\killer\\kill_level.lua,126
144,808,85,10,1755,3225,0,Thi Đại Thiếu,1,\\script\\task\\tollgate\\killer\\kill_level.lua,127
145,809,85,10,1675,3149,0,Tôn Văn Bưu ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,128
146,810,85,202,1548,2836,0,Đồng Bất Phục,1,\\script\\task\\tollgate\\killer\\kill_level.lua,129
147,811,85,202,1715,2925,0,Đường Bác Văn,1,\\script\\task\\tollgate\\killer\\kill_level.lua,130
148,767,85,202,1610,3141,0,Đào Đảo Chủ ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,131
149,803,85,202,1514,2666,0,Điền Vô Đạo,1,\\script\\task\\tollgate\\killer\\kill_level.lua,132
150,804,85,181,1598,3111,0,Viên Niệm Tịch,1,\\script\\task\\tollgate\\killer\\kill_level.lua,133
151,805,85,181,1625,2974,0,Trịnh Trác Quần,1,\\script\\task\\tollgate\\killer\\kill_level.lua,134
152,806,85,181,1696,3031,0,Chương Nguyên Sùng,1,\\script\\task\\tollgate\\killer\\kill_level.lua,135
153,807,85,181,1694,3229,0,Tạ Trọng Hậu,1,\\script\\task\\tollgate\\killer\\kill_level.lua,136
154,808,85,143,1536,3152,0,Vu Cửu  Đồ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,137
155,809,85,143,1528,3251,0,Viên Thiên Thọ ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,138
156,810,85,143,1642,3130,0,Nhạc Thượng Côn,1,\\script\\task\\tollgate\\killer\\kill_level.lua,139
157,811,85,143,1634,3252,0,Chiêm Phúc Vân,1,\\script\\task\\tollgate\\killer\\kill_level.lua,140
160,768,95,93,1644,3279,0,Giả Giới Nhân,1,\\script\\task\\tollgate\\killer\\kill_level.lua,141
161,812,95,93,1646,3058,0,Trịnh Cửu Nhật,1,\\script\\task\\tollgate\\killer\\kill_level.lua,142
162,813,95,93,1736,3213,0,Chu Sở Bá ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,143
163,814,95,93,1610,3152,0,Trang Minh Trung,1,\\script\\task\\tollgate\\killer\\kill_level.lua,144
164,815,95,225,1590,3325,0,Cam Chính Cô ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,145
165,816,95,225,1261,3247,0,Vũ Nhất Thế ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,146
166,817,95,225,1452,3377,0,Dương Phong  Dật,1,\\script\\task\\tollgate\\killer\\kill_level.lua,147
167,818,95,225,1425,3107,0,Hà Sinh Vong,1,\\script\\task\\tollgate\\killer\\kill_level.lua,148
168,819,95,75,1711,3187,0,Tăng Chỉ óan,1,\\script\\task\\tollgate\\killer\\kill_level.lua,149
169,820,95,75,1752,3124,0,Vệ Biên Thành,1,\\script\\task\\tollgate\\killer\\kill_level.lua,150
170,768,95,75,1831,3190,0,Cố Thủ Đằng,1,\\script\\task\\tollgate\\killer\\kill_level.lua,151
171,812,95,75,1639,3159,0,Gia Cát Kinh Hồng,1,\\script\\task\\tollgate\\killer\\kill_level.lua,152
172,813,95,321,1253,3002,0,Phan Ngạt Nhạn,1,\\script\\task\\tollgate\\killer\\kill_level.lua,153
173,814,95,321,1483,2742,0,Liên Hình Thái,1,\\script\\task\\tollgate\\killer\\kill_level.lua,154
174,815,95,321,1289,2613,0,Bào Triệt sơn ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,155
175,816,95,321,1113,2569,0,Vạn Hồ Tinh,1,\\script\\task\\tollgate\\killer\\kill_level.lua,156
176,817,95,340,1217,2740,0,Trử Thiên Mẫn,1,\\script\\task\\tollgate\\killer\\kill_level.lua,157
177,820,95,340,1723,2765,0,Đoạn Lăng Nguyệt,1,\\script\\task\\tollgate\\killer\\kill_level.lua,158
178,819,95,340,1275,2749,0,Tả  Dật Minh,1,\\script\\task\\tollgate\\killer\\kill_level.lua,159
179,818,95,340,1932,2759,0,Nhậm Thương Khung,1,\\script\\task\\tollgate\\killer\\kill_level.lua,160
