TinhNang,MapId,PathLinux,PathJX1,LINUX:maps.pak,JX1SRV:maps.pak,JX1SRV:maps_client.pak,JX1SRV:namcung.pak,JX1SRV:maps_banghuichengbao.pak,JX1SRV:maps_tieu_bang_chien.pak,JX1CLI:maps.pak
satthu,72,两湖区\武陵山\大酋洞迷宫,两湖区\武陵山\大酋洞迷宫,CO,CO,CO,-,-,-,CO
satthu,73,两湖区\武陵山\伏流洞迷宫,两湖区\武陵山\伏流洞迷宫,CO,CO,CO,-,-,-,CO
satthu,75,两湖区\神农架\蚩尤洞迷宫,两湖区\神农架\蚩尤洞迷宫,CO,CO,CO,-,-,-,CO
satthu,76,两湖区\神农架\山宝洞迷宫,两湖区\神农架\山宝洞迷宫,CO,CO,CO,-,-,-,CO
satthu,77,两湖区\神农架\燕子洞迷宫,两湖区\神农架\燕子洞迷宫,CO,CO,CO,-,-,-,CO
satthu,83,中原南区\武当派\火狼洞迷宫,中原南区\武当派\火狼洞迷宫,CO,CO,CO,-,-,-,CO
satthu,91,中原南区\伏牛山\鸡冠洞迷宫,中原南区\伏牛山\鸡冠洞迷宫,CO,CO,CO,-,-,-,CO
satthu,93,中原南区\蜀冈山\荐菊洞密宫,中原南区\蜀冈山\荐菊洞密宫,CO,CO,CO,-,-,-,CO
satthu,94,中原南区\蜀冈山\灵谷洞密宫,中原南区\蜀冈山\灵谷洞密宫,CO,CO,CO,-,-,-,CO
satthu,117,中原南区\丐帮\地下迷宫二层,中原南区\丐帮\地下迷宫二层,CO,CO,CO,-,-,-,CO
satthu,123,西北北区\黄河源头\老虎洞迷宫,西北北区\黄河源头\老虎洞迷宫,CO,CO,CO,-,-,-,CO
satthu,135,西北北区\昆仑派\见性峰山洞,西北北区\昆仑派\见性峰山洞,CO,CO,CO,-,-,-,CO
satthu,141,西北北区\药王谷\药王洞一层,西北北区\药王谷\药王洞一层,CO,CO,CO,-,-,-,CO
satthu,143,西北北区\药王谷\药王洞三层,西北北区\药王谷\药王洞三层,CO,CO,CO,-,-,-,CO
satthu,148,西北北区\药王谷\雪豹洞四层,西北北区\药王谷\雪豹洞四层,CO,CO,CO,-,-,-,CO
satthu,164,西南南区\大理\千寻塔一层,西南南区\大理\千寻塔一层,CO,CO,CO,-,-,-,CO
satthu,168,西南南区\点苍山\凤眼洞迷宫,西南南区\点苍山\凤眼洞迷宫,CO,CO,CO,-,-,-,CO
satthu,181,江南区\罗霄山\两水洞迷宫,江南区\罗霄山\两水洞迷宫,CO,CO,CO,-,-,-,CO
satthu,193,江南区\武夷山\武夷山,江南区\武夷山\武夷山,CO,CO,CO,-,-,-,CO
satthu,194,江南区\武夷山\玉华洞迷宫,江南区\武夷山\玉华洞迷宫,CO,CO,CO,-,-,-,CO
satthu,196,江南区\雁荡山\羊角洞迷宫,江南区\雁荡山\羊角洞迷宫,CO,CO,CO,-,-,-,CO
satthu,201,西北南区\冰河洞迷宫,西北南区\冰河洞迷宫,CO,CO,CO,-,-,-,CO
satthu,202,西南北区\芙蓉洞迷宫,西南北区\芙蓉洞迷宫,CO,CO,CO,-,-,-,CO
satthu,225,西北北区\沙漠迷宫\沙漠山洞1,西北北区\沙漠迷宫\沙漠山洞1,CO,CO,CO,-,-,-,CO
satthu,319,东北区\临渝关,东北区\临渝关,CO,CO,CO,-,-,-,CO
satthu,321,东北区\长白山\长白山南,东北区\长白山\长白山南,CO,CO,CO,-,-,-,CO
satthu,340,西北北区\莫高窟,西北北区\莫高窟,CO,CO,-,-,-,-,-
phonglangdo,336,中原北区\风陵渡,中原北区\风陵渡,CO,CO,-,-,-,-,-
phonglangdo,337,中原北区\渡船,中原北区\渡船,CO,CO,-,-,-,-,-
phonglangdo,338,中原北区\渡船,中原北区\渡船,CO,CO,-,-,-,-,-
phonglangdo,339,中原北区\渡船,中原北区\渡船,CO,CO,-,-,-,-,-
phonglangdo,175,江南区\西山村,江南区\西山村,CO,CO,CO,-,-,-,CO
vuotai,464,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,465,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,466,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,467,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,468,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,469,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,470,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,471,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,472,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,473,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,474,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,475,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,476,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,477,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,478,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,479,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,480,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,481,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,482,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,483,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,484,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,485,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,486,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,487,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,488,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,489,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,490,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,491,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,492,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,493,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,494,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,495,特殊用地\杀手的试炼,特殊用地\杀手的试炼,CO,CO,-,-,-,-,-
vuotai,957,特殊用地\安期炼丹洞,特殊用地\安期炼丹洞,CO,CO,-,-,-,-,-
