AbradeEquipments	0x08107aa0
BT_ClearPlayerData	0x081c6050
BT_GetBattleName	0x081c5760
BT_GetBattleParam	0x081c69b0
BT_GetData	0x081c67d0
BT_GetGameData	0x081c6230
BT_GetLadderInfo	0x081c59d0
BT_GetTopTenInfo	0x081c57c0
BT_GetTypeBonus	0x081c58e0
BT_LeaveBattle	0x081c62e0
BT_ReportResult	0x081c5ce0
BT_SendLadderNo	0x081c55d0
BT_SendMemberCount	0x081c52f0
BT_SetBattleLevelDesc	0x081c5f10
BT_SetBattleName	0x081c5f80
BT_SetData	0x081c68e0
BT_SetGameData	0x081c60e0
BT_SetMissionDesc	0x081c5ea0
BT_SetMissionName	0x081c5e30
BT_SetRestTime	0x081c61a0
BT_SetType2Task	0x081c6340
BT_SetTypeBonus	0x081c5120
BT_SetView	0x081c5220
BT_SortLadder	0x081c66a0
BT_SortWorldLadder	0x081c5b60
BT_UpdateMemberCount	0x081c6ae0
BT_ViewBattleStart	0x081c5ff0
Belt	0x0825324d
BindItem	0x08127870
Boot	0x0825323e
BotStopValidateClient	0x0814e680
BotValidateClient	0x0814e790
BuildATeam	0x08123680
CN	0x08250ada
CN_IB	0x08250ae0
C_Buy	0x08245489
C_Pick	0x08244489
C_Random	0x08105c30
CalcAutoHangPlayerCount	0x081012e0
CalcEnhanceExp	0x081093d0
CalcEquiproomItemCount	0x0810d580
CalcEquiproomItemCountEx	0x0810d3f0
CalcFreeItemCellCount	0x0810ca20
CalcItemCount	0x0810d840
CallPlayerFunction	0x08129580
Cancel	0x080fba40
CancelStall	0x08107a10
CancelTrade	0x08118c90
CastSkill	0x0812b570
ChangeNpcFeature	0x08130e20
ChangeOwnFeature	0x08131350
ChangeTeamFeature	0x08103630
ChatRoom_AddTime	0x08109ea0
ChatRoom_ChangePassword	0x08109770
ChatRoom_CloseRoom	0x081096a0
ChatRoom_CreateRoom	0x08109d70
ChatRoom_EnterRoom	0x08109c40
ChatRoom_FindRoom	0x08109f90
ChatRoom_KickOut	0x08109870
ChatRoom_LeaveRoom	0x08109b70
ChatRoom_Prevent	0x08109a70
ChatRoom_UnPrevent	0x08109970
CheckGlobalTradeFlag	0x081086f0
CheckPlayerFlag	0x0810b6b0
CheckStoreBoxState	0x0810eda0
CheckTicket	0x0811cd70
Clear120SkillExpLimit	0x08114b10
ClearBotCode	0x0814e990
ClearFactionRecord	0x0811a480
ClearMapNpc	0x08102e90
ClearMapNpcWithName	0x08102df0
ClearMapObj	0x08102b40
ClearMapTrap	0x08102ac0
ClearNpcDamageState	0x080fc0d0
ClearObstacleObj	0x081213c0
ClearProgressBarEvent	0x080fc410
ClearScriptAnswers	0x08124fe0
ClearSomeObj	0x08121210
CloseGlbMission	0x08131d70
CloseMission	0x081327e0
CloseShop	0x081114f0
CloseTask	0x081747d0
Compound	0x0825ed34
CompoundCryolite_Necklace	0x0825ea1e
CompoundCryolite_Pendant	0x0825ea37
CompoundCryolite_Ring	0x0825ea04
CompoundGold_Atlas	0x0825eb22
CompoundGold_Cryolite	0x0825eb0f
CompoundGold_EnhanceItem	0x0825eb51
CompoundGold_Material	0x0825eb38
ConsumeEquiproomItem	0x0810cef0
ConsumeEquiproomItemEx	0x0810cd40
ConsumeItem	0x0810d6c0
CountFreeRoomByWH	0x0810c790
CreateBiaoChe	0x0810e9a0
CreateChannel	0x081045a0
CreateStores	0x08122cd0
CreateTong	0x0811b020
Cuff	0x0825ea2f
DRS	0x08120e70
DbgPoint	0x08100110
Death	0x08117e00
DegradePlatinaItem	0x0811e1e0
DelBreakPoint	0x080fc140
DelCommonItem	0x0811d4c0
DelItem	0x0811d5d0
DelItemEx	0x0811d3b0
DelMSPlayer	0x081372a0
DelMagic	0x0811c7e0
DelMapTrap	0x08102600
DelNpc	0x08107460
DelObject	0x08106900
DelStationList	0x08110f50
DelTimer	0x08100ca0
DeleteBiaoChe	0x0812d620
DeleteChannel	0x08104560
Describe	0x081242a0
DetachActor	0x0810bf70
DiceLootItem	0x081c14f0
DisableTeamChangeCamp	0x0810f170
DisabledChatCity	0x08130670
DisabledChatWorld	0x08130770
DisabledStall	0x08130980
DisabledTeam	0x08126590
DisabledUseHeart	0x08130870
DisabledUseTownP	0x08130a80
Distill_Cryolite	0x0825ea76
Distill_EnhanceItem	0x0825ea9a
Distill_Equip	0x0825ea65
Distill_OrgMine	0x0825ea86
DoMarry	0x081053a0
DoRelayScript	0x08120e70
DoSmeltEquip	0x08257e10
DoSth	0x08118cc0
DropItem	0x081200b0
DropItemEx	0x0811fd70
DynamicExecute	0x081300b0
DynamicExecuteByPlayer	0x0812fe80
EH_SetCurDurability	0x0810efb0
ERROR	0x0826d592
Earn	0x08118970
EnchaseItem	0x08116cf0
Enchase_Cryolite	0x0825ead4
Enchase_EnhanceItem	0x0825eaf9
Enchase_Equip	0x0825eac3
Enchase_PropMine	0x0825eae5
EnterChannel	0x081044c0
ExeScript	0x080fb850
FadeInMusic	0x080fb880
FadeOutMusic	0x080fb890
FantasyGoldEquip	0x08116e30
FileName2Id	0x08100e80
File_Create	0x0814a120
FindFreeRoomByWH	0x0810c8e0
FindSpecItemParam2	0x0811cc60
FirstTask	0x08174e30
ForbidChangePK	0x0810f590
ForbidEnmity	0x0810b0f0
ForbitAura	0x08111560
ForbitSkill	0x08121620
ForbitStamina	0x0810ccc0
ForbitSyncAura	0x0810cc10
ForbitSyncName	0x08103cf0
ForbitTalk	0x0810cb70
ForbitTrade	0x08111600
ForceLeaveTong	0x0810fa40
ForceTransferTax	0x08121990
Forge_Cryolite	0x0825eab5
Forge_Equip	0x0825eaa6
FormatTime2Date	0x081022b0
FormatTime2Number	0x081023b0
FormatTime2String	0x08106720
FoundryItem	0x08116ea0
GMCancleBoxPassword	0x0810ec80
GMLockBox	0x0810ec10
GMMsg2Player	0x081153e0
GMSetBoxPassword	0x0810ecf0
GMTongAddMember	0x08128300
GMTongDismiss	0x08104d40
GMTongSetAddTime	0x08104d80
GMTongSetExp	0x08104e60
GMTongSetLevel	0x08104ed0
GMTongSetMaster	0x08104f40
GMUnlockBox	0x0810eba0
GameNewSupply	0x08250931
Get120SkillEnhanceExpRate	0x08109f40
GetAccLeftTime	0x0810bde0
GetAccount	0x0810f6a0
GetAccrueSeries	0x080fc590
GetAllCitySummary	0x08116240
GetAllClothesEquipment	0x0810d050
GetAllEquipValue	0x08108520
GetAllEquipment	0x0810d0f0
GetAllSkillCurInc	0x0811c320
GetArenaBothSides	0x08104680
GetArenaCityArea	0x080fdff0
GetArenaCredits	0x08108040
GetArenaInfoByCity	0x08121d00
GetArenaLevel	0x08104640
GetArenaSchedule	0x08122000
GetArenaTargetCity	0x080fbe20
GetArenaTotalLevel	0x08129510
GetArenaTotalLevelByCity	0x0812b880
GetAroundNpcList	0x0810e740
GetAroundPlayerList	0x0810e530
GetAutoHangExpValue	0x080fe1d0
GetBiaoChePos	0x0812d3c0
GetBit	0x080feba0
GetBitTask	0x081090a0
GetBotDeleteAccountFlag	0x0814e730
GetBotPunishFlag	0x0814e760
GetBoxLockState	0x0810eb40
GetBoxMoney	0x08111670
GetByte	0x080fea20
GetCamp	0x08114650
GetCash	0x081116d0
GetCashCoin	0x08118800
GetChoose	0x08129c30
GetChooseCount	0x0812aa00
GetCity	0x080fb860
GetCityArea	0x08115c30
GetCityAreaName	0x080ffeb0
GetCityCount	0x080fbc30
GetCityOwner	0x080fff40
GetCitySummary	0x081223c0
GetCityWarBothSides	0x080ffda0
GetCityWarTongCamp	0x081228c0
GetColdR	0x08113b20
GetConquerSeries	0x080fc600
GetContribution	0x0811a950
GetCumulateOffer	0x08113fc0
GetCurCamp	0x081146c0
GetCurDurability	0x080fd550
GetCurEquipWishValue	0x080fce00
GetCurServerTime	0x08103800
GetCurrentMagicLevel	0x0811c3a0
GetCurrentTime	0x08103a80
GetCurrentTong	0x0811ad30
GetDefend	0x08112090
GetDelDupedAllInOne	0x080fbb70
GetDelayCatchTime	0x0814e6c0
GetDex	0x08111960
GetDiceIncome	0x080fbe70
GetDisabledFuncFlag	0x08126520
GetDupedDealLevel	0x080fbba0
GetDynamicShopID	0x08129240
GetEnergy	0x08107de0
GetEng	0x08111a30
GetEnhanceExpRate	0x081094a0
GetEquipMaxStoneNum	0x080fc800
GetEventTask	0x081742c0
GetEventTaskCount	0x08174430
GetExp	0x08117860
GetExpPercent	0x08121090
GetExtPoint	0x0810fa90
GetFaction	0x0811a5d0
GetFactionNumber	0x08113c60
GetFailedItem	0x08113340
GetFeeType	0x0811b460
GetFightState	0x081113c0
GetFireR	0x081130a0
GetFirstPlayerAtSW	0x08107680
GetFirstPlayerAtServer	0x08101cf0
GetFusionInEquipInfo	0x0810a6f0
GetGameTime	0x0810f3a0
GetGateWayClientID	0x080fbc60
GetGiveItemUnit	0x08114e60
GetGiveItemUnitWithPos	0x08114d90
GetGlbMissionV	0x080fd6c0
GetGlbValue	0x080fe270
GetGlobalTradeFlag	0x080fbb40
GetGlodEqIndex	0x080fef90
GetGoldCoinCount	0x08117790
GetIP	0x0810f710
GetInfo	0x0810f7a0
GetIsCheckNpcBarrier	0x080fbc90
GetItemAllParams	0x08102d20
GetItemBTLMaxStackCount	0x08127b70
GetItemBTLName	0x08127a70
GetItemBelong	0x080fec30
GetItemBillType	0x0810dd30
GetItemBindState	0x080fe790
GetItemCmd	0x0811daa0
GetItemCount	0x0811d6e0
GetItemCountEx	0x0811d830
GetItemDiceItemInfo	0x081c04a0
GetItemDicePlayerList	0x081c0380
GetItemDiceRollInfo	0x081c0b80
GetItemDiceState	0x081c05b0
GetItemExchangeValue	0x080fcf90
GetItemFortuneValue	0x080fcf00
GetItemGenTime	0x080fe820
GetItemHeight	0x080fed90
GetItemIndexBydwID	0x081017c0
GetItemLevel	0x080ff0d0
GetItemLife	0x0811cb00
GetItemMagicAttrib	0x080fd7f0
GetItemMagicDesc	0x0811e5b0
GetItemMagicLevel	0x08100430
GetItemMaxStackCount	0x080fd1a0
GetItemName	0x081005d0
GetItemParam	0x080fecc0
GetItemPrice	0x08127c60
GetItemProp	0x080ff260
GetItemQuality	0x080fefb0
GetItemSeries	0x080ff040
GetItemStackCount	0x080fd250
GetItemValue	0x080fc670
GetItemWidth	0x080fee20
GetJoinTongTime	0x08121100
GetLastAddFaction	0x0811a4c0
GetLastBreakTime	0x080fccf0
GetLastDamageNpc	0x0810c0b0
GetLastDiagNpc	0x0810c5e0
GetLastDlgNpc	0x0810c5e0
GetLastExchangeTime	0x0810b9e0
GetLastFactionNumber	0x0810e6d0
GetLastLogoutTime	0x0810b870
GetLastOfflineTime	0x0810b970
GetLeadExp	0x08111d90
GetLeadLevel	0x0810ff00
GetLevel	0x081111e0
GetLevelExp	0x08101110
GetLevelUpExp	0x08108830
GetLife	0x081124d0
GetLightR	0x08112e00
GetLocalDate	0x0812a140
GetLocalTime	0x08103850
GetLoginTime	0x0810b760
GetLogoutRV	0x081104a0
GetLoop	0x080fbdf0
GetLucky	0x08111b80
GetMSIdxGroup	0x08135cf0
GetMSPlayerCount	0x081351f0
GetMSRestTime	0x081361c0
GetMagicPoint	0x0810fe10
GetMana	0x08112270
GetMapDropRateFile	0x080ffbf0
GetMapInfoFile	0x081024e0
GetMapNpcWithName	0x08102bc0
GetMapParam	0x080fe390
GetMapPlayerList	0x08106c80
GetMapTrapCount	0x08102a30
GetMapType	0x080fe5a0
GetMaskFeature	0x080fddc0
GetMateName	0x08110340
GetMaxDurability	0x080fd5c0
GetMaxEquipWishValue	0x080fcd80
GetMaxResist	0x08108c00
GetMissionS	0x08107160
GetMissionV	0x081072f0
GetName	0x08111e70
GetNewBulletin	0x08123830
GetNextItemIndexInRoom	0x0810d270
GetNextPlayer	0x08135760
GetNextPlayerAtSW	0x081075d0
GetNextPlayerAtServer	0x08101d20
GetNpcAroundNpcList	0x08104a20
GetNpcAroundPlayerList	0x08104870
GetNpcCurCamp	0x0811b260
GetNpcCurLife	0x080fbff0
GetNpcCurMaxLife	0x080fbf70
GetNpcDropRateFile	0x080ffc70
GetNpcExpRate	0x081c0b50
GetNpcFightState	0x080fd9b0
GetNpcFreeCount	0x080fbdc0
GetNpcId	0x080fd920
GetNpcIdx	0x08110300
GetNpcKind	0x080fda40
GetNpcLife	0x08117ef0
GetNpcName	0x08100040
GetNpcParam	0x081c0a00
GetNpcPos	0x081293f0
GetNpcPowerType	0x08120d50
GetNpcScript	0x080ffcf0
GetNpcSeries	0x080fe080
GetNpcSettingIdx	0x080fde50
GetNpcTimer	0x08100170
GetNpcTong	0x0811a9c0
GetOnlineCommissionStatus	0x081091a0
GetOrgMaxDurability	0x08104fa0
GetPK	0x081103c0
GetPMParam	0x0812ad90
GetPartnerBagLevel	0x081143f0
GetPayTicket	0x080fd3b0
GetPayTicketCount	0x080fbbd0
GetPhyR	0x081128b0
GetPkReduceState	0x081094d0
GetPlatinaEquipIndex	0x080fef70
GetPlatinaLevel	0x08100520
GetPlayerClientIP	0x08127ee0
GetPlayerCount	0x080fbcc0
GetPlayerEnteringTrap	0x08111370
GetPlayerFeature	0x080fdc80
GetPlayerFortuneRank	0x0810ab50
GetPlayerMagicAttrib	0x08119060
GetPlayerRev	0x08114730
GetPoisonCount	0x0810ae70
GetPoisonR	0x08112b50
GetPos	0x08129140
GetPotionCount	0x0810ae70
GetPrice2Station	0x08106620
GetPrice2WayPoint	0x081066a0
GetProductLanguge	0x080ffb90
GetProductRegion	0x080ffb30
GetProgressBarMaskEvent	0x080fbaf0
GetProp	0x0810f9f0
GetProtectTime	0x0810e460
GetPtMagicAttrExValue	0x08101070
GetPunish	0x0810f400
GetPvPKilledNum	0x08117720
GetQAnswer	0x08129ff0
GetQBeginTime	0x0812a500
GetQEndTime	0x0812a640
GetQuestion	0x0812a8c0
GetQuestionPrice	0x0812a3c0
GetQuestionTip	0x0812a780
GetRank	0x08110a70
GetRanking	0x08107920
GetRefuseLoginCount	0x0814ea40
GetRefuseLoginFlag	0x0814eaa0
GetRelaxTime	0x081110c0
GetRepairDurPrice	0x08127d20
GetRepute	0x08117230
GetRespect	0x08129790
GetRestAP	0x08111cc0
GetRestSP	0x08111c60
GetRestTime	0x08116370
GetRetScoreForGoldCoin	0x081185b0
GetRideState	0x08111730
GetRoleCreateDate	0x0810c2f0
GetRoleCreateTime	0x0810c210
GetRoleCreateTimeData	0x0810c1a0
GetRoleDataTransMark	0x0810c130
GetRoleEquipValue	0x08108590
GetRoomItems	0x0810d170
GetSaleMoney	0x08113420
GetSeries	0x08111f30
GetServerDate	0x0812a280
GetServerName	0x08106510
GetServiceMatchID	0x081065f0
GetSex	0x08112020
GetSignCodeSyncTime	0x0814e6f0
GetSignUpTongName	0x0812c690
GetSkillCount	0x0811c510
GetSkillExp	0x0812ab40
GetSkillId	0x08114a30
GetSkillMaxLevel	0x080fdad0
GetSkillMaxLevelAddons	0x08108b20
GetSkillName	0x08129b70
GetSkillNextExp	0x0812ac50
GetSkillState	0x08125cb0
GetStallState	0x08107a50
GetStallTotal	0x080fbd70
GetStallTotalTax	0x080fbd20
GetStamina	0x08112170
GetStarLevel	0x080fce80
GetStarStoneOnEquip	0x080fca40
GetStation	0x08110db0
GetStationCount	0x08110ef0
GetStationName	0x08110bd0
GetStationPos	0x08106070
GetStoneLevelOnEquip	0x080fc980
GetStrg	0x08111890
GetStringTask	0x081166e0
GetSwitch	0x08102f00
GetTask	0x08116890
GetTaskEventID	0x08174230
GetTaskMoney	0x08101270
GetTaskStatus	0x08175090
GetTaskTemp	0x08123a20
GetTaxCollected	0x08121aa0
GetTeam	0x08115630
GetTeamMember	0x08115530
GetTeamSize	0x08115480
GetTerminiFState	0x08110910
GetTicket	0x080fd490
GetTicketCount	0x080fbc00
GetTimerId	0x08116400
GetTireTime	0x08111120
GetTiredDegree	0x08111180
GetTmpCamp	0x0810bb70
GetTmpValue	0x08174f40
GetTong	0x0811aab0
GetTongCamp	0x08114560
GetTongFigure	0x081145b0
GetTongLogData	0x08190bb0
GetTongMTask	0x0812dc60
GetTongMaster	0x081144f0
GetTongMemberCount	0x0811ac80
GetTongMemberID	0x08114600
GetTongName	0x0811ab30
GetTongTitle	0x0811af00
GetTongWeek	0x08113e10
GetTotalItemCount	0x0811d980
GetTotalMagicLevel	0x08127dc0
GetTotalOffer	0x08114170
GetTotalSkill	0x0811c5d0
GetTradeTotal	0x080fbcf0
GetTripMode	0x080fbac0
GetUUID	0x08111e00
GetVit	0x081117b0
GetWayPoint	0x08110cc0
GetWayPointName	0x08110ae0
GetWayPointPos	0x08105f30
GetWeekGoalOffer	0x08114390
GetWeeklyOffer	0x08114320
GetWharf	0x08106310
GetWharfCount	0x08106460
GetWharfName	0x08106250
GetWharfPos	0x08105d30
GetWharfPrice	0x081063e0
GetWorldPos	0x08128f30
GiveItemUI	0x0812bba0
GoldItemDrop	0x08250931
HandItemIdx	0x081150f0
HaveBeginWar	0x08104770
HaveCommonItem	0x0811d140
HaveItem	0x0811d250
HaveMagic	0x0811c930
Helm	0x0826a5e9
HideNpc	0x08106fc0
Horse	0x0825560c
HostBeEnmity	0x08260565
HostBloodFallQuickly	0x08260506
HostBloodLess	0x082604f1
HostEnmity	0x08260558
HostEquipBreaking	0x082605b8
HostFriendInvite	0x08260595
HostKillAnimal	0x08260515
HostKillBoss	0x08260522
HostKillPartner	0x08260541
HostKillPlayer	0x08260531
HostLevelUp	0x0826054d
HostPkTooHigh	0x082605c6
HostTeamInvite	0x08260574
HostTradeInvite	0x08260584
IB_BuyItem_Ret	0x082444c7
IB_UseItem	0x082444c7
IL	0x0812e1d0
ITEM_Abrade2BrokenEquip	0x08154cb0
ITEM_BrokenEquip2Normal	0x08154b80
ITEM_CalcItemValue	0x081553f0
ITEM_DropRateItem	0x08154de0
ITEM_ExportShop	0x08154440
ITEM_GetExpiredTime	0x08154540
ITEM_GetImmediaItemIndex	0x08155320
ITEM_GetItemExParam	0x081547d0
ITEM_GetItemInfo	0x081550f0
ITEM_GetItemRandSeed	0x081548e0
ITEM_GetItemVersion	0x08154990
ITEM_GetLatestItemVersion	0x081542c0
ITEM_GetLeftUsageTime	0x081545f0
ITEM_SetExpiredTime	0x08154a30
ITEM_SetExpiredTime2	0x08154460
ITEM_SetItemExParam	0x081546a0
ITEM_SetLeftUsageTime	0x08154fd0
ITEM_TransferItemValue	0x08155bb0
Include	0x08123b60
IncludeLib	0x0812e1d0
IncreasePoisonCount	0x0810b170
IncreasePotionCount	0x0810b170
IniFile_GetData	0x0814abd0
IniFile_Load	0x0814afb0
IniFile_Save	0x0814b160
IniFile_SetData	0x0814aaf0
IniFile_UnLoad	0x0814b0e0
InlayStarStone	0x0810a2c0
IsArenaBegin	0x08101620
IsBiaoCheAlive	0x0812d860
IsCaptain	0x08115690
IsDeath	0x0810ac70
IsDisabledChatCity	0x0812eee0
IsDisabledChatWorld	0x081264b0
IsDisabledStall	0x0812ee70
IsDisabledTeam	0x0812ef50
IsDisabledUseHeart	0x0812ed70
IsDisabledUseTownP	0x0812edf0
IsExpSkill	0x0812cf30
IsForbidChangePK	0x0810f540
IsGSHaveFreeMap	0x081270d0
IsHide	0x0810ad00
IsItemStackable	0x080fd320
IsMyItem	0x0811b4d0
IsNpcFeatureChanged	0x08103530
IsNpcHide	0x08106ec0
IsOpeningModule	0x08127940
IsOwnFeatureChanged	0x0810caa0
IsSeriesAccrue	0x08100ef0
IsSeriesConquer	0x08100fb0
IsSigningUp	0x08115930
IsSpectator	0x0810bf00
IsTongWarMap	0x080fe700
JoinMission	0x08137e40
KickOutAccount	0x08118490
KickOutPlayer	0x08118370
KickOutSelf	0x081182c0
KillNpc	0x08117e00
KillNpcWithIdx	0x081181d0
KillPlayer	0x08117bc0
LEAGUE	0x08244489
LGM_ApplyAddMember	0x0815c720
LGM_ApplyRemoveMember	0x0815bad0
LGM_CreateMemberObj	0x0815d0f0
LGM_FreeMemberObj	0x0815c5c0
LGM_SetMemberInfo	0x0815cca0
LG_AddMemberToObj	0x0815dc80
LG_ApplyAddLeague	0x0815d210
LG_ApplyAppendLeagueTask	0x0815c3b0
LG_ApplyAppendMemberTask	0x0815c0a0
LG_ApplyDoScript	0x0815b700
LG_ApplyRemoveLeague	0x0815ced0
LG_ApplySetLeagueTask	0x0815c3d0
LG_ApplySetMemberTask	0x0815c0c0
LG_CreateLeagueObj	0x0815d740
LG_FreeLeagueObj	0x0815c670
LG_GetFirstLeague	0x0815b640
LG_GetLeagueCreateTime	0x0815def0
LG_GetLeagueInfo	0x0815c500
LG_GetLeagueObj	0x0815e020
LG_GetLeagueObjByRole	0x0815de40
LG_GetLeagueTask	0x0815e330
LG_GetMemberCount	0x0815b5d0
LG_GetMemberInfo	0x0815c3f0
LG_GetMemberJoinTime	0x0815e4f0
LG_GetMemberObj	0x0815dac0
LG_GetMemberTask	0x0815e120
LG_GetNextLeague	0x0815d870
LG_SetLeagueInfo	0x0815cb90
Ladder_ClearLadder	0x08159a80
Ladder_GetLadderInfo	0x08159bd0
Ladder_NewLadder	0x08159d40
LeaveChannel	0x08104420
LeaveTeam	0x08121060
LeftFillString	0x0812f460
LeftTrimString	0x081290b0
LoadMap	0x081013d0
LoadScript	0x08105020
LoginDelaySync	0x0810e1b0
Lottery_CheckPrize	0x08103220
Lottery_DrawCurrentIssue	0x081033b0
Lottery_GenerateItem	0x0810c680
Lottery_GetDesc	0x08103120
Lottery_GetLatestPrizeInfo	0x0812b930
Lottery_StartNewIssue	0x08103430
Lottery_UpdateIssue	0x081034b0
Lottery_WriteLog	0x081030a0
MSDIdx2PIdx	0x08137970
MY	0x08250ae6
MagicAttrib2Str	0x08127e60
MakeDateTime	0x081038a0
MakeEnemy	0x080fb870
Mantle	0x08118f70
Mask	0x0826a5ee
MeleeWeapon	0x0826a5d2
Message	0x08106830
MoveTongExp	0x0811abd0
Msg2Faction	0x08120ec0
Msg2GM	0x0810f920
Msg2IP	0x081051e0
Msg2MSAll	0x08134280
Msg2MSGroup	0x08134c60
Msg2MSPlayer	0x08133810
Msg2Map	0x08105080
Msg2Player	0x081171b0
Msg2Region	0x080fb820
Msg2SubWorld	0x08105170
Msg2Team	0x081152c0
Msg2Tong	0x08120e00
N13KBufAllocator12_KHugeBufObjE	0x08251ee4
N13KBufAllocator13_KLargeBufObjE	0x08251ee4
N13KBufAllocator13_KSmallBufObjE	0x08251ee4
N8KMsgInfo13_KMsgInfoListINS_8TMsgInfoELm200EEE	0x08258e90
NPCINFO_AddBlueNpc	0x081c25f0
NPCINFO_GetLevel	0x081c0970
NPCINFO_GetName	0x081c25e0
NPCINFO_GetNpcCurrentLife	0x081c06b0
NPCINFO_GetNpcCurrentMana	0x081c0630
NPCINFO_GetNpcCurrentMaxLife	0x081c07c0
NPCINFO_GetNpcCurrentMaxMana	0x081c0730
NPCINFO_GetSeries	0x081c08e0
NPCINFO_GetTemplateId	0x081c0850
NPCINFO_SetMaxLife	0x081c1070
NPCINFO_SetMaxMana	0x081c0fe0
NPCINFO_SetNpcCurrentLife	0x081c0070
NPCINFO_SetNpcCurrentMana	0x081bffc0
NPCINFO_SetNpcCurrentMaxLife	0x081c01c0
NPCINFO_SetNpcCurrentMaxMana	0x081c0120
NW_Abdicate	0x08128000
NW_AwardEmperor	0x08128060
NW_CheckText	0x08126da0
NW_CloseCongratulation	0x08127fb0
NW_Dismiss	0x08126a40
NW_EmperorHistory	0x08127180
NW_EmperorHistoryCount	0x08127100
NW_Enthrone	0x08126860
NW_ForbidChat	0x08128550
NW_GetDuty	0x081173f0
NW_GetEmperorName	0x081000d0
NW_GetNationTitle	0x081000f0
NW_GetRemark	0x080fbea0
NW_GetSealInfo	0x081016f0
NW_GetTask	0x08126d20
NW_InEmperorTong	0x08117380
NW_Instate	0x08126b50
NW_IsEmperor	0x081175d0
NW_Levy	0x08128640
NW_OpenCongratulation	0x08128100
NW_OwnSeal	0x08126c50
NW_RemarkEmperor	0x081284a0
NW_SetNationTitle	0x081281f0
NW_SetTask	0x08126ca0
NewItemEx	0x081205c0
NewWorld	0x0811b690
NextTask	0x08174d40
NoChoice	0x081170b0
NotifyArenaResult	0x08122800
NotifyWarResult	0x08122940
NpcCastSkill	0x0812b3a0
NpcChat	0x0812e5a0
NpcDialog	0x081744b0
NpcDropMoney	0x0811d9c0
NpcIdx2PIdx	0x081058b0
NpcName2Replace	0x081006d0
NpcNewWorld	0x0811b590
NpcSetHide	0x08101c10
NpcWalk	0x08118e50
