key	value
G_PLAYER_6	Kim Hoàn Bảo, lần sau sẽ chuyển nhập điểm số 
G_PLAYER_7	Kim Hoàn Bảo, chuyển nhập 28 ngày thành công! 
G_PLAYER_8	Kim Hoàn Bảo, lần sau sẽ chuyển nhập 28 ngày
G_PLAYER_9	Nguyên bảo chuyển thành công 20 giờ chơi!
G_PLAYER_10	Nguyên bảo sẽ chuyển thành 20 giờ chơi vào đợt bảo trì tới
G_PLAYER_11	Nguyên bảo chuyển thành công 10 ngày chơi!
G_PLAYER_12	Nguyên bảo sẽ chuyển thành 10 ngày chơi vào đợt bảo trì tới
G_PLAYER_13	Hệ thống hủy bỏ 
G_PLAYER_14	Tiếp tục
G_PLAYER_15	Hoàn thành
G_PLAYER_16	Chúc mừng bạn! Nhận được %d Tử Đối, nhận được phần thưởng %d lượng! 
G_PLAYER_17	Chúc mừng bạn! Nhận được %d Tử Khắc; Chúc mừng bạn được phần thưởng lớn, tổng cộng %d lượng! 
G_PLAYER_18	Chúc mừng bạn! Nhận được %d %d %d phần thưởng %d lượng! 
G_PLAYER_19	Chúc mừng bạn, bạn nhận được phần thưởng! 
G_PLAYER_20	Ngân phiếu chuyển thành điểm số thành công!
G_PLAYER_21	Ngân phiếu sẽ chuyển hóa thành điểm số sau lần bảo trì server lần sau!
G_PLAYER_22	Ngân phiếu chuyển thành số ngày thành công!
G_PLAYER_23	Ngân phiếu sẽ chuyển hóa thành số ngày sau lần bảo trì server lần sau!

G_PLAYER_24	Giao dịch bị hủy bỏ, xin hãy kiểm tra tổng số tiền trong hành trang và tiền nhận được khi giao dịch có phải vượt giới hạn!
G_PLAYER_25	Giao dịch bị hủy bỏ, đối phương không phù hợp điều kiện giao dịch!
G_PLAYER_26	Bạn đã bị trọng thương, sẽ tự động hồi sinh!
G_PLAYER_27	Thời gian ngồi bán hiện tại của bạn là 0, không thể tiếp tục ngồi bán.
G_PLAYER_28	Nghe thông tin truyền miệng: quan phủ sẽ trọng thưởng cho ai chỉ chỗ bạn lẩn trốn, xin hãy cẩn thận!
G_PLAYER_29	Thế thân phù trong hành trang của bang giúp bạn chống đỡ được 1 lần tấn công chí mạng!
G_PLAYER_30	Người chơi [%s], ở [%s] tọa độ [%d, %d] nhặt được '%s'
G_PLAYERSET_0	Tôi<color=green>%s<color=restore> cũng đi. Huynh (tỷ) hãy chờ tôi cùng đi bái kiến
G_PLAYERSET_1	<color=green>%s<color=restore>thi triển Lăng Ba Vi Bộ, bồng bềnh mà đi. 
G_PLAYERSET_2	Một tia sấm chớp, <color=green>%s<color=restore> trên trời giáng xuống. 
G_PLAYERSET_3	Quản gia ở Ngô phủ 

G_PlayerStall_0	Mua đồ đạc
G_PlayerStall_2 	Hãy quay lại sau!

G_PARTNER_0	Tên bạn đặt không đúng!

G_ITEM_0	<color=White> vật phẩm tạm thời: 
G_ITEM_1	Đẳng cấp: %d\n
G_ITEM_2	Giá cả: %d %s
G_ITEM_3	<color=White>Thuộc tính Ngũ hành: <color=Metal>Kim 
G_ITEM_4	<color=White>Thuộc tính Ngũ hành: <color=Wood>Mộc 
G_ITEM_5	<color=White>Thuộc tính Ngũ hành: <color=Water>Thủy 
G_ITEM_6	<color=White>Thuộc tính Ngũ hành: <color=Fire>Hỏa 
G_ITEM_7	<color=White>Thuộc tính Ngũ hành: <color=Earth>Thổ 
G_ITEM_8	<color=Yellow>Không thể phá hủy<color>
G_ITEM_9_1	Độ bền: %3d / %3d
G_ITEM_9_2	<color=red>Độ bền %3d / %3d<color>
G_ITEM_10	Nón
G_ITEM_11	Y phục
G_ITEM_12	Yêu Đái
G_ITEM_13	Vũ Khí
G_ITEM_14	Hài Tử
G_ITEM_15	Hộ Uyển
G_ITEM_16	Dây Chuyền
G_ITEM_17	Nhẫn phải (trên) 
G_ITEM_18	Nhẫn trái (dưới) 
G_ITEM_19	Ngọc bội
G_ITEM_20	Cưỡi ngựa
G_ITEM_21	Cần %s của %s và %s để kích thuộc tính âm 
G_ITEM_22	 [cấp %d]
G_ITEM_23	<color=Yellow>Số lần sử dụng: không hạn chế<color>
G_ITEM_24	<color=Yellow>Số lần còn sử dụng được: %d / %d<color>
G_ITEM_25	<color=Yellow>Sau mỗi lần sử dụng, số lần sẽ bị trừ đi 1<color>
G_ITEM_26	<color=Red>Trang bị này chỉ có thể sử dụng 1 lần cuối cùng, sau đó sẽ tự động biến mất<color>
G_ITEM_27	Chưa khảm nạm
G_ITEM_28	<trang bị tổn hại>
G_ITEM_29	<color=Fire>Thời gian sử dụng còn: %02d giờ %02d phút<color>
G_ITEM_30	\n<color=Fire>Thời hạn sử dụng: %.2d:%.2d %.2d-%.2d-%d<color>\n
G_ITEM_31	Giá cả: %d tiền vàng
G_ITEM_32	Giá cả: %d tích lũy thương hội
G_ITEM_33	Thu thập đạo cụ
G_ITEM_34	Giá: %d Ngân Đĩnh
G_ITEM_BIND_STATE	<color=Green>Vật phẩm này đã được khóa bảo hiểm<color>\n
G_ITEM_BIND_STATE2	<color=Green>Vật phẩm này đã được khóa bảo hiểm vĩnh viễn<color>\n
G_ITEM_UNBIND_STATE	<color=Green>Thời gian chờ mở khóa: %d giờ<color>\n

G_ITEM_FACTIONPENDANT_LEVEL	<color=Yellow>văn sức cơ bản[Cấp %d]\n	
G_ITEM_FACTIONPENDANT_ORNAMEN_EMPTY	<color><color=White><bclr=blue>\n Chưa khảm văn sức\n
G_ITEM_FACTIONPENDANT_ORNAMEN	<color><color=White><bclr=blue>\n Thuộc tính văn sức [%d lổ] ]\n
G_ITEM_FACTIONPENDANT_NOTCH	Lổ thứ %d %s\n
G_ITEM_FACTIONPENDANT_NOTCH_YUAN	Lổ thứ %d:  %s\n
G_ITEM_FACTIONPENDANT_NOTCH_EMPTY	Rỗng
G_ITEM_FACTIONPENDANT_ACTIVEATTR	<bclr><color><color=Green>\n Kích hoạt thuộc tính (Dựa vào số lổ văn sức) \n
G_ITEM_FACTIONPENDANT_ACTIVEATTR_NO	<color=DGreen> Chưa kích hoạt thuộc tính <color>
G_ITEM_FACTIONPENDANT_STONE_ATTR	<color=White><bclr=blue>\n%s<bclr><color>
G_ITEM_FACTIONPENDANT_BLESSING	<color=HBlue> Điểm chúc phúc tẩy luyện %d/50<color>\n
		
G_ItemList_0	Không thể sử dụng Thổ Địa Phù ở đây
G_ItemList_1	Rương chứa đồ đang trong trạng thái bị khóa, không thể lấy tiền
G_ItemList_2	Rương chứa đồ đang bị khóa, không thể điều chỉnh trang bị! 
G_ItemList_3	Rương chứa đồ đang bị khóa! 
G_ItemList_4	Thiết lập mật mã thành công! 
G_ItemList_5	Thiết lập mật mã thất bại: mật mã đã được thiết lập! 
G_ItemList_6	Hủy bỏ mật mã thành công! 
G_ItemList_7	Hủy bỏ mật mã thất bại: chưa từng thiết lập mật mã! 
G_ItemList_8	Hủy bỏ mật mã thất bại: mật mã kiểm chứng sai! 
G_ItemList_9	Thay đổi mật mã thành công! 
G_ItemList_10	Thay đổi mật mã thất bại: chưa từng thiết lập mật mã, không thể thay đổi! 
G_ItemList_11	Thay đổi mật mã thất bại: mật mã kiểm chứng sai! 
G_ItemList_12	Mã khóa thành công! 
G_ItemList_13	Mã khóa thất bại: chức năng mở rộng rương và mật mã bảo hộ vẫn chưa khởi động! Hãy đến huyện Ba Lăng gặp Thẩm Cửu (188, 198) để mua chức năng khởi động này
G_ItemList_14	Giải mã khóa thành công! 
G_ItemList_15	Giải mã khóa thất bại: chức năng mở rộng rương và mật mã bảo hộ vẫn chưa khởi động! Hãy đến huyện Ba Lăng gặp Thẩm Cửu (188, 198) để mua chức năng khởi động này
G_ItemList_16	Giải mã khóa thất bại: mật mã kiểm chứng thất bại! 
G_ItemList_17	Người chơi có PK>=5 không thể sử dụng Thổ địa phù!
G_ItemList_18	Người chơi có PK>=9 sử dụng vật phẩm này sẽ không có hiệu quả!

G_SkillList_0	kỹ năng của bạn %s thông qua rèn luyện đã được nâng cấp rồi! 
G_SkillList_1	Vũ khí mà bạn trang bị không phù hợp với loại võ công mà bạn hiện đang sử dụng
G_SkillList_2	Võ công mà bạn sử dụng hiện giờ không thể cỡi ngựa! 
G_SkillList_3	Võ công mà bạn hiện đang sử dụng cần phải cỡi ngựa! 
G_SkillList_4	Số lượng lính đánh thuê tuy đã đạt cực hạn, vẫn có thể thuê thêm! 
G_SkillList_5	Kỹ năng %s của Đồng hành đã được thăng cấp!
G_SkillList_6	Đẳng cấp yêu cầu: %d

G_Skills_0	kỹ thuật bắn \n
G_Skills_1	Hình tường số lượng %d\n
G_Skills_2	Hình sợi số lượng %d\n
G_Skills_3	Hình dẹp số lượng %d\n
G_Skills_4	Hình tròn phát tán số lượng %d\n
G_Skills_5	Khu vực hình tròn số lượng %d\n
G_Skills_6	Khu vực hình vuông số lượng %d\n
G_Skills_7	Thiết định khu vực hình tròn số lượng %d\n
G_Skills_8	Thiết định khu vực hình vuông số lượng %d\n
G_Skills_11	kỹ thuật đánh nhau \n
G_Skills_12	Võ công hỗ trợ chủ lực \n
G_Skills_13	Trạng thái kéo dài thời gian: %d\n
G_Skills_14	Được hỗ trợ võ công \n
G_Skills_15	Khu vực sát thương
G_Skills_16	Nguyên địa
G_Skills_17	Đi thẳng trực tiếp
G_Skills_18	Đi đường vòng
G_Skills_20	Vật bị ném đi 
G_Skills_21	Xuyên qua
G_Skills_22	Phạm vi sát thương: %d 
G_Skills_23	Phạm vi chấn động: %d 
G_Skills_24	Tiêu vong - tự hủy
G_Skills_25	ánh sáng
G_Skills_26	Vật lý 
G_Skills_27	ở gần
G_Skills_28	Tận trung
G_Skills_29	Đối với bạn
G_Skills_30	Đối với kẻ địch
G_Skills_31	Đối với vật phẩm
G_Skills_32	Đối với chính mình
G_Skills_33	Suy nghĩ về số mệnh
G_Skills_34	Thuộc tính kỹ năng: 
G_Skills_35	 (Công kích gần ) \n
G_Skills_36	 (Công kích xa) \n
G_Skills_37	Đẳng cấp hiện thời: %d
G_Skills_38	Đẳng cấp hiện thời: %d (%d+%d) 
G_Skills_39	Hỗ trợ từ các kỹ năng khác: %d%%\n
G_Skills_40	Mức độ luyện: %d%%\n
G_Skills_41	Hạn chế vũ khí:
G_Skills_42	Trong lúc cỡi ngựa không thể thi triển \n
G_Skills_43	Cần phải cỡi ngựa để thi triển \n
G_Skills_44	\n<color=Red> Đẳng cấp tiếp theo \n
G_Skills_45	Tiêu hao nội lực: %d\n
G_Skills_46	Tiêu hao thể lực: %d\n
G_Skills_47	Tiêu hao sinh mệnh: %d\n
G_Skills_48	Phạm vi hiệu quả: %d\n
G_Skills_49	Kỹ năng %s: +%d%%\n
G_Skills_50	<color=Blue> Tầng thứ nhất: <color>
G_Skills_51	<color=Blue> Tầng thứ 2: <color>
G_Skills_52	<color=Blue> Tầng thứ 3: <color>
G_Skills_53	<color=Blue> Tầng thứ 4: <color>
G_Skills_54	<color=Blue> Tầng thứ 5: <color>
G_Skills_55	<color=Blue> Tầng thứ 6: <color>
G_Skills_56	<color=Blue> Tầng thứ 7: <color>
G_Skills_57	<color=Blue> Tầng thứ 8: <color>
G_Skills_58	<color=Blue> Tầng thứ 9: <color>
G_Skills_59	<color=Blue> Tầng thứ 10: <color>
G_Skills_60	<color=Blue> Tầng thứ 11: <color>
G_Skills_61	<color=Blue> Tầng thứ 12: <color>
G_Skills_62	<color=Blue> Tầng thứ 13: <color>
G_Skills_63	<color=Blue> Tầng thứ 14: <color>
G_Skills_64	<color=Blue> Tầng thứ 15: <color>
G_Skills_65	<color=Blue> Tầng thứ 16: <color>
G_Skills_66	<color=Blue> Tầng thứ 17: <color>
G_Skills_67	<color=Blue> Tầng thứ 18: <color>
G_Skills_68	<color=Blue> Tầng thứ 19: <color>
G_Skills_69	<color=Blue> Tầng thứ 20: <color>
G_Skills_70	Thuộc tính: Kim %d\n
G_Skills_71	Thuộc tính: Mộc %d\n
G_Skills_72	Thuộc tính: Thủy %d\n
G_Skills_73	Thuộc tính: Hỏa %d\n
G_Skills_74	Thuộc tính: Thổ %d\n
G_Skills_75	Ngũ Hành tương khắc: %d%%\n
G_Skills_76	Trang bị gồm có:

G_PlayerPK_0	Điểm PK của bạn quá nhiều, chỉ cho phép luyện công! 
G_PlayerPK_1	Điểm PK của bạn quá nhiều, không thể hạ thủ được! 

G_STR_GOOD_EXPIREDTIME	\n<color=Fire>Thời gian bán vật phẩm: %d ngày %02d giờ %02d phút<color>\n

G_ProtocolProcess_0	 một người 
G_ProtocolProcess_1	lượng
G_ProtocolProcess_2	Ngân lượng
G_ProtocolProcess_3	 có người 
G_ProtocolProcess_4	Bang chủ đã phát tiền cho Bạn: %d! 
G_ProtocolProcess_5	Vẫn chưa khởi động chức năng thông báo khi có người rời tuyến
G_ProtocolProcess_6	Mục tiêu để chuyển phát các tin tức ngoại tuyến là %s! 
G_ProtocolProcess_7	Mục tiêu thiết lập chuyển phát các tin tức ngoại tuyến là %s. 
G_ProtocolProcess_8	Bạn hiện tại không thể nhận được những tin tức tán gẫu! \ n đăng nhập / OfflineTrans có thể hủy bỏ Thiết lập. 
G_ProtocolProcess_9	Sáng lập bang hội thất bại! 
G_ProtocolProcess_10	%s xin phép gia nhập bang hội! 
G_ProtocolProcess_11	Hoạt động của bang hội đã bị đình chỉ, không thể nhận lệnh! 
G_ProtocolProcess_12	Chuyển vị thất bại, đối phương không trực tuyến! 
G_ProtocolProcess_13	Chuyển vị thất bại, đối phương năng lực không đủ! 
G_ProtocolProcess_14	Chuyển vị thất bại, trong bang không có người này! 
G_ProtocolProcess_15	Hoạt động của bang hội đã bị khóa! 
G_ProtocolProcess_16	%s xin phép gia nhập liên minh! 
G_ProtocolProcess_17	%s cự tuyệt tiếp nhận bổn bang gia nhập liên minh
G_ProtocolProcess_18	Bang hội không đủ tiền! 
G_ProtocolProcess_19	hiện giờ PK của bạn >?3,  trước khi PK xin hãy hủy bỏ trạng thái khóa trang bị.
G_ProtocolProcess_20	Trạng thái của bạn hiện nay không thể di chuyển hoặc giao dịch vật phẩm!
G_ProtocolProcess_21	Đồng hành vẫn còn hôn mê, sau %d giây nữa mới có thể xuất hiện
G_ProtocolProcess_22	Khoảng cách giữa 2 lần gọi Đồng hành quá ngắn, xin hãy thử lại sau!
G_ProtocolProcess_23	Không thể gọi đồng hành tại đây!
G_ProtocolProcess_24	Thanh trang bị của bạn đang trong trạng thái khóa, không thể giải tán Đồng hành!
G_ProtocolProcess_25	Không cho phép giải tán bạn đồng hành cuối cùng!
G_ProtocolProcess_26	Vật phẩm này không phát huy tác dụng tại nơi đây!
G_ProtocolProcess_27	Vì bạn liên tục nhập vào mật mã sai, hệ thống sẽ ngưng kiểm chứng trong một khoảng thời gian. Thời gian còn lại là: %d giờ.
G_ProtocolProcess_28	Bạn liên tục nhập vào mật mã sai %d lần. Nếu nhập sai 10 lần liên tục thì hệ thống sẽ ngưng không kiểm chứng trong một khoảng thời gian.
G_ProtocolProcess_29	Trạng thái hiện tại của ngươi bị cấm giao dịch vật phẩm!

G_ScriptFuns_0	Vô hệ 
G_ScriptFuns_1	< khu vực phi trực thuộc >
G_ScriptFuns_2	Lôi đài trong bổn thành hiện vẫn chưa tiến hành thi đấu
G_ScriptFuns_3	Khu vực trong bổn thành gần đây không có trận thi đấu Lôi đài nào
G_ScriptFuns_4	Tin tức tổ đội
G_ScriptFuns_5	 [Script] sử dụng AddItem số lượng tham số không phù hợp! 
G_ScriptFuns_6	[Script]Sử dụng tham số số lượng  AddQualityItem không phù hợp!
G_ScriptFuns_7	[Script]QualityItem- Hiện tại chỉ hỗ trợ trang bị!
G_ScriptFuns_8	GetItem ParameterNotEnough!
G_ScriptFuns_9	HaveItem ParameterNotEnough!
G_ScriptFuns_10	DelCommonItem ParameterNotEnough!
G_ScriptFuns_11	ExistCommonItem ParameterNotEnough!
G_ScriptFuns_12	GetItemLife ParameterNotEnough!
G_ScriptFuns_13	Thành vô danh
G_ScriptFuns_14	Chưa ghi nhớ 
G_ScriptFuns_15	Chưa biết bến tàu 
G_ScriptFuns_16	Danh vọng giang hồ của Bạn đã giảm %d điểm! 
G_ScriptFuns_17	Danh vọng giang hồ của Bạn đã tăng %d điểm! 

G_MagicDesc_0	Nội lực
G_MagicDesc_1	Sinh lực
G_MagicDesc_2	Thể lực
G_MagicDesc_3	Tiền
G_MagicDesc_4	+
G_MagicDesc_5	-
G_MagicDesc_6	 Nữ 
G_MagicDesc_7	 Nam 
G_MagicDesc_8	Kiếm 
G_MagicDesc_9	Đơn đao
G_MagicDesc_10	Côn bổng 
G_MagicDesc_11	thương 
G_MagicDesc_12	Chùy 
G_MagicDesc_13	Song đao
G_MagicDesc_14	 sở hữu 
G_MagicDesc_15	ám khí 
G_MagicDesc_16	 cận thân 
G_MagicDesc_17	Tay không
G_MagicDesc_18	Chưa biết

G_KDiceGame_0	Bạn không có đủ ngân lượng để tiếp tục trò chơi nữa
G_KDiceGame_1	trò chơi 
G_KDiceGame_2	AddGlobalNews ( [ [nhiệt liệt chúc mừng %s đã giành được đại thưởng, nhận được số tiền tích lũy, tổng cộng %d lượng! ]]) 
G_KDiceGame_3	%d: %d máy chơi game: %s dò ra %d|%d|%d, tiền cược: %d tiền thưởng: %d tiền thưởng: %d\n

G_STRING_AUTOHANGMSG_1	Công lực của Bạn quá kém, không thể hấp thụ được hiệu quả thần kỳ của cháo Lạp Bát. Khi đạt cấp %d hãy quay lại
G_STRING_AUTOHANGMSG_2	Chỉ có cháo Lạp Bát mới có thể hấp thu được địa khí ở đây, giúp Bạn tăng cường công lực. Xin hãy đi tìm Đào Hoa ẩn sĩ để mua một ít cháo Lạp Bát
G_STRING_AUTOHANGMSG_3	Hiệu lực cuối cùng của cháo Lạp Bát đã được Bạn hấp thụ toàn bộ, Bạn cần phải đến chỗ của Đào Hoa ẩn sĩ để mua thêm một ít thì mới có thể tiếp tục tăng cường thêm công lực
G_STRING_AUTOHANGMSG_4	Kinh nghiệm của Bạn đã tăng lên %d điểm. 
G_STRING_AUTOHANGMSG_5	Hiệu lực cuối cùng của cháo Lạp Bát đã được Bạn hấp thụ toàn bộ, Bạn cần phải đến chỗ của Đào Hoa ẩn sĩ để mua thêm một ít thì mới có thể tiếp tục tăng cường thêm công lực

G_TONG_FIGURE_CALL_MASTER	Bang chủ 
G_TONG_FIGURE_CALL_DIRECTOR	Trưởng Lão
G_TONG_FIGURE_CALL_MANAGER	Đội trưởng 
G_TONG_FIGURE_CALL_MEMBER	Đệ tử 
G_TONG_FIGURE_CALL_RETIRE	ẩn sỹ

G_CORESHELL_0	\n<color=White>Giá niêm yết: <color=Yellow>
G_CORESHELL_1	Lúc cỡi ngựa không thể thiền tọa! 

G_CORESHELL_STALL_0	\n<color=White>Giá niêm yết ( thu nhập ) : <color=Green>
G_CORESHELL_STALL_1	\n<color=White>Giá bán (gồm thuế ) : <color=Yellow>
G_CORESHELL_STALL_2	\n<color=White>Giá bán: <color=Yellow>
G_CORESHELL_STALL_3	\n<color=Blue>Thuế suất: %d%%\n

G_STRING_ALLSKILLS	 Võ công vốn có 
G_STRING_BRACKET_BEGIN	 [ 
G_STRING_BRACKET_END	 ]

G_CITYWAR_WARNING_SETTAXTIME	Trước mắt không cho phép thiết định thuế suất. Mỗi ngày chỉ thiết định thuế suất trong thời gian ngắn: %d điểm?%d điểm
G_CITYWAR_WARNING_TAXALREADYSET1 	Bạn đã đặt thuế suất của ngày hôm nay!!
G_CITYWAR_WARNING_TAXALREADYSET	Bạn đã thiết định thuế suất của tuần này rồi! 
G_CITYWAR_WARNING_NOTTONGLEADER	Bạn không phải là Bang chủ của bang hội! 

G_STRING_DISABLED_CHAT	Nơi Bạn đang đứng là khu vực đặt thù, không thể sử dụng kênh tán gẫu này
G_STRING_ENTER_CHANNEL	Bạn đã gia nhập kênh %s
G_STRING_LEAVE_CHANNEL	Bạn rời khỏi kênh

G_STRING_ANTIBOT_AFTERMSG	Bạn vẫn còn bị ảnh hưởng của phần mềm hack, trong thời gian nhất định hệ thống không bảo đảm chính xác số điểm bạn nhận được.
G_STRING_ANTIBOT_CLEARMSG	Đã xóa hết ảnh hưởng của phần mềm hack, hiện điểm kinh nghiệm bạn nhận được là chính xác.
G_STRING_ANTIBOT_STARTMSG	Bạn đang sử dụng phần mềm hack, hệ thống không đảm bảo chính xác điểm kinh nghiệm bạn nhận được.

G_STRING_SONG	Tống
G_STRING_JIN	Kim

G_STRING_MONEY	lượng
G_STRING_FUYUAN	Phúc Duyên
G_STRING_COIN	Tiền đồng
G_STRING_SCORE	Điểm Tích Lũy
G_STRING_GOLDCOIN	Tiền vàng
G_STRING_HONOUR	điểm vinh dự
G_STRING_GOLDCOIN_SCORE	Tích lũy thương hội
G_STRING_RESPECT	Uy danh
G_STRING_ENERGY	Tinh lực
G_STRING_CONTRIBUTION	 điểm cống hiến
G_STRING_BUILDFUND	Độ kiến thiết bang hội
G_STRING_REFINING	Tinh Luyện Thạch
G_STRING_ARENA_CREDITS	Huy Chương Cảnh Kỹ Trường
G_STRING_SJGX	Điểm công huân
G_STRING_GOLDCOIN_YINDING Ngân Đĩnh

G_STRING_XINGYU	Tinh Ngọc
G_STR_MOUSE_MAGIC_ITEM	Bạn chưa sử dụng Bạch Câu hoàn không thể sử dụng chức năng tự động đánh quái!
G_STR_ONLY_JEWELRY	Ô này chỉ có thể bỏ vào trang sức (dây chuyền, nhẫn, ngọc bội) chưa được khóa bảo hiểm
G_STR_ONLY_CRYOLITE	Ô vật phẩm này chỉ không thể bỏ vào Huyền tinh khoáng thạch cùng loại.
G_STR_ONLY_PROPMINE	Ô vật phẩm này chỉ có thể bỏ khoáng thạch thuộc tính (Huyền Thiết khoáng, Mật Ngân khoáng, Chu Sa khoáng, Khổng Tước thạch, Phù Dung thạch, Chung Nhũ thạch) .
G_STR_ONLY_EQUIP	Ô này chỉ có thể đặt vào trang bị xanh hoặc trắng chưa được khóa bảo hiểm.
G_STR_ONLY_MINE	Ô vật phẩm này chỉ có thể Huyền tinh khoáng thạch không cùng loại hoặc khoáng thạch thuộc tính.
G_STR_ONLY_BW_EQUIP	Ô này chỉ có thể đặt vào trang bị xanh hoặc trắng (ngoại trừ trang sức) chưa được khóa bảo hiểm.
G_STR_ONLY_PURPLE_EQUIP	Ô này chỉ có thể đặt vào trang bị tím chưa được khóa bảo hiểm.
G_STR_ONLY_CONSUME	Ô vật phẩm này chỉ có thể bỏ vào Thủy tinh, Phúc duyên lộ, khoáng thạch thần bí.
G_STR_ONLY_ORGMINE	Ô vật phẩm này chỉ có thể bỏ vào Huyền tinh khoáng thạch không cùng loại hoặc khoáng thạch thuộc tính (Huyền Thiết khoáng, Mật Ngân khoáng, Chu Sa khoáng, Khổng Tước thạch, Phù Dung thạch, Chung Nhũ thạch) 
G_STR_ONLY_ATLAS	Ô vật phẩm này chỉ có thể bỏ Đồ phổ Hoàng Kim hoặc Huyền tinh khoáng thạch không cùng loại.
G_STR_ONLY_BOOK	Ô vật phẩm này chỉ có thể bỏ khoáng thạch thuộc tính hoặc sách kỹ năng vào.
G_STR_NO_BINDITEM	Không thể đặt vào vật phẩm đã được khóa bảo hiểm!
G_STR_ONLY_FANTASYGOLD	Khung vật phẩm này chỉ có thể bỏ Huyền Kim
G_STR_ONLY_FANTASYGOLDESSENCE	Khung vật phẩm này chỉ có thể bỏ Huyền Kim Chi Tinh

G_STR_FORBIT_THROWITEM	Nhằm bảo vệ tài sản cho bạn! Vật phảm quý không được tùy ý vứt ra ngoài!

G_STR_DUPEDITEM_MARK	 %s này đã được phục chế phi pháp! Hệ thống đã ghi nhớ!
G_STR_DUPEDITEM_DELETE	 %s này đã được phục chế phi pháp! Hệ thống đã hủy bỏ 

G_STR_ITEM_ABRADETOZERO	 %s  đã tổn hại, không thể tiếp tục sử dụng, hiện trong hành trang. Hãy đến Lâm An tìm <Thần bí Thương Nhân> sử dụng tiền đồng để sửa chữa!
G_STR_COPY_ITEM_WARNING	!! Vật phẩm này đã bị phục chế, sẽ bị hệ thống tịch thu!! \n nghiêm cấp lừa gạt, xin đừng giao dịch\n\n

G_TIPS_PLAYEREVENT_KILLNPC	tiến độ diệt %s  là %d/%d

G_STR_ORIGINAL_PRICE	Giá cũ:
