Num	Name	Quality	Genre	Detail	Particular	Level	GoodsFive	Magiclevel	TaskValue	Count	LockType	ExpDay	GiveAll	Cells
4200	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
4300	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
4300	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
4400	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
4400	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
4500	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
4500	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
4600	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
4600	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
4700	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
4700	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
4800	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
4800	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
4900	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
4900	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
5000	§Þnh Quèc Thanh Sa Tr­êng Sam	1	158	0	0	0	1	0	10000	1	-2	30	0	6
5000	§Þnh Quèc ¤ Sa Ph¸t Qu¸n	1	159	0	0	0	1	0	10000	1	-2	30	0	4
5000	§Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	1	160	0	0	0	1	0	10000	1	-2	30	0	4
5000	§Þnh Quèc Tö §»ng Hé uyÓn	1	161	0	0	0	1	0	10000	1	-2	30	0	2
5000	§Þnh Quèc Ng©n Tµm Yªu ®¸i	1	162	0	0	0	1	0	10000	1	-2	30	0	2
5100	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
5100	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
5200	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
5200	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
5300	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
5300	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
5400	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
5400	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
5500	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
5500	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
5600	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
5600	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
5700	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
5700	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
5800	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
5800	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
5900	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
5900	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
6000	§Þnh Quèc Thanh Sa Tr­êng Sam	1	158	0	0	0	1	0	10000	1	0	0	1	6
6000	§Þnh Quèc ¤ Sa Ph¸t Qu¸n	1	159	0	0	0	1	0	10000	1	0	0	1	4
6000	§Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	1	160	0	0	0	1	0	10000	1	0	0	1	4
6000	§Þnh Quèc Tö §»ng Hé uyÓn	1	161	0	0	0	1	0	10000	1	0	0	1	2
6000	§Þnh Quèc Ng©n Tµm Yªu ®¸i	1	162	0	0	0	1	0	10000	1	0	0	1	2
6100	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
6100	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
6200	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
6200	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
6300	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
6300	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
6400	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
6400	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
6500	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
6500	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
6600	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
6600	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
6700	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
6700	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
6800	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
6800	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
6900	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
6900	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
7000	An Bang B¨ng Tinh Th¹ch H¹ng Liªn	1	163	0	0	0	1	0	10000	1	0	0	1	2
7000	An Bang Cóc Hoa Th¹ch ChØ hoµn	1	164	0	0	0	1	0	10000	1	0	0	1	1
7000	An Bang §iÒn Hoµng Th¹ch Ngäc Béi	1	165	0	0	0	1	0	10000	1	0	0	1	2
7000	An Bang Kª HuyÕt Th¹ch Giíi ChØ	1	166	0	0	0	1	0	10000	1	0	0	1	1
7100	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
7100	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
7200	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
7200	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
7300	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
7300	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
7400	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
7400	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
7500	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
7500	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
7600	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
7600	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
7700	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
7700	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
7800	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
7800	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
7900	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
7900	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
8000	R­¬ng Hoµng Kim M«n Ph¸i	0	6	1	4855	0	1	0	10000	1	0	0	1	1
