nhanvat	part	bang	dong_tep	equipNo	k	action	o	path	uid	cham_toi	trang_thai
MainMan	RightWeapon	ManRightWeapon.txt	270	268	37	RangeWDie	MA_RW_000_DE03.spr	\spr\npcres\man\MA_RW_000_DE03.spr	40F2ED3C	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	38	DoubleWDie	MA_RW_000_DE04.spr	\spr\npcres\man\MA_RW_000_DE04.spr	420893BE	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	39	SwordShieldWDie	MA_RW_164_DE05.spr	\spr\npcres\man\MA_RW_164_DE05.spr	1ABCB1D5	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	40	ShieldSwordWDie	MA_RW_164_DE05.spr	\spr\npcres\man\MA_RW_164_DE05.spr	1ABCB1D5	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	41	GuqinWDie	MA_RW_000_DE06.spr	\spr\npcres\man\MA_RW_000_DE06.spr	591C8CB2	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	42	FreeAttack	MA_RW_000_AT01.spr	\spr\npcres\man\MA_RW_000_AT01.spr	3A9E6528	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	43	MeleeWPuncture	MA_RW_000_AT02.spr	\spr\npcres\man\MA_RW_000_AT02.spr	34146BAA	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	44	MeleeWCut	MA_RW_000_AT03.spr	\spr\npcres\man\MA_RW_000_AT03.spr	31A21E2C	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	45	RangeWPuncture	MA_RW_000_AT04.spr	\spr\npcres\man\MA_RW_000_AT04.spr	333804AE	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	46	RangeWCut	MA_RW_000_AT05.spr	\spr\npcres\man\MA_RW_000_AT05.spr	0CB60B20	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	47	DoubleWPull	MA_RW_000_AT06.spr	\spr\npcres\man\MA_RW_000_AT06.spr	09CC31A2	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	48	DoubleWPound	MA_RW_000_AT07.spr	\spr\npcres\man\MA_RW_000_AT07.spr	0B5A2424	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	49	SwordShieldWChop	MA_RW_164_AT08.spr	\spr\npcres\man\MA_RW_164_AT08.spr	438EF6D6	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	50	SwordShieldWCut	MA_RW_164_AT09.spr	\spr\npcres\man\MA_RW_164_AT09.spr	5D04FD48	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	51	ShieldSwordWChop	MA_RW_164_AT08.spr	\spr\npcres\man\MA_RW_164_AT08.spr	438EF6D6	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	52	ShieldSwordWCut	MA_RW_164_AT09.spr	\spr\npcres\man\MA_RW_164_AT09.spr	5D04FD48	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	53	GuqinWPuncture	MA_RW_000_AT10.spr	\spr\npcres\man\MA_RW_000_AT10.spr	46D970B3	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	54	GuqinWCut	MA_RW_000_AT11.spr	\spr\npcres\man\MA_RW_000_AT11.spr	40576735	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	55	DartThrow	MA_RW_000_MG01.spr	\spr\npcres\man\MA_RW_000_MG01.spr	38A75538	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	56	FreeMagic	MA_RW_000_MG02.spr	\spr\npcres\man\MA_RW_000_MG02.spr	3A3D5BBA	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	57	MeleeWMagic	MA_RW_000_MG03.spr	\spr\npcres\man\MA_RW_000_MG03.spr	374B4E3C	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	58	RangeWMagic	MA_RW_000_MG04.spr	\spr\npcres\man\MA_RW_000_MG04.spr	30C174BE	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	59	DoubleWMagic	MA_RW_000_MG05.spr	\spr\npcres\man\MA_RW_000_MG05.spr	325F7B30	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	60	SwordShieldWMagic	MA_RW_164_MG06.spr	\spr\npcres\man\MA_RW_164_MG06.spr	4A830DE2	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	61	ShieldSwordWMagic	MA_RW_164_MG06.spr	\spr\npcres\man\MA_RW_164_MG06.spr	4A830DE2	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	62	GuqinWMagic	MA_RW_000_MG07.spr	\spr\npcres\man\MA_RW_000_MG07.spr	09631434	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	63	SitDown	MA_RW_000_ZZ01.spr	\spr\npcres\man\MA_RW_000_ZZ01.spr	FE781C7E	1	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	64	JumpFly	MA_RW_000_JP01.spr	\spr\npcres\man\MA_RW_000_JP01.spr	9A6C41FB	1	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	65	RideStand	MA_RW_164_RD01.spr	\spr\npcres\man\MA_RW_164_RD01.spr	3D012E9E	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	66	RideWalk	MA_RW_164_HW01.spr	\spr\npcres\man\MA_RW_164_HW01.spr	C6EA4C7C	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	67	RideRun	MA_RW_164_HR01.spr	\spr\npcres\man\MA_RW_164_HR01.spr	273445A8	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	68	RideCut	MA_RW_164_HA01.spr	\spr\npcres\man\MA_RW_164_HA01.spr	3D3973F9	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	69	RidePuncture	MA_RW_164_HA02.spr	\spr\npcres\man\MA_RW_164_HA02.spr	3EB7667B	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	70	RideMagic	MA_RW_164_HM01.spr	\spr\npcres\man\MA_RW_164_HM01.spr	07165A99	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	71	RideWound	MA_RW_164_HI01.spr	\spr\npcres\man\MA_RW_164_HI01.spr	5A443974	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	72	RideDie	MA_RW_164_HD01.spr	\spr\npcres\man\MA_RW_164_HD01.spr	BAA63EA0	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	73	RideStand1	MA_RW_164_RD01.spr	\spr\npcres\man\MA_RW_164_RD01.spr	3D012E9E	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	74	RideStand2	MA_RW_164_RD01.spr	\spr\npcres\man\MA_RW_164_RD01.spr	3D012E9E	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	0	SwordShieldWFreeStand	MA_RW_164_ST01.spr	\spr\npcres\man\MA_RW_164_ST01.spr	2E0B22B9	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	1	ShieldSwordWFreeStand	MA_RW_164_ST01.spr	\spr\npcres\man\MA_RW_164_ST01.spr	2E0B22B9	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	2	FreeStand1	MA_RW_164_ST01.spr	\spr\npcres\man\MA_RW_164_ST01.spr	2E0B22B9	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	3	FreeStand2	MA_RW_164_ST02.spr	\spr\npcres\man\MA_RW_164_ST02.spr	2B81293B	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	4	FreeStand3	MA_RW_000_ST03.spr	\spr\npcres\man\MA_RW_000_ST03.spr	EE61338D	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	5	MeleeWStand	MA_RW_000_ST04.spr	\spr\npcres\man\MA_RW_000_ST04.spr	EBFF260F	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	6	RangeWStand	MA_RW_000_ST05.spr	\spr\npcres\man\MA_RW_000_ST05.spr	E5752C81	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	7	DoubleWStand	MA_RW_000_ST06.spr	\spr\npcres\man\MA_RW_000_ST06.spr	E683D303	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	8	SwordShieldWStand	MA_RW_164_ST07.spr	\spr\npcres\man\MA_RW_164_ST07.spr	3F37E5B5	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	9	ShieldSwordWStand	MA_RW_164_ST07.spr	\spr\npcres\man\MA_RW_164_ST07.spr	3F37E5B5	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	10	GuqinWStand1	MA_RW_000_ST08.spr	\spr\npcres\man\MA_RW_000_ST08.spr	FD97CC07	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	11	GuqinWStand2	MA_RW_000_ST09.spr	\spr\npcres\man\MA_RW_000_ST09.spr	FF2DF379	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	12	FreeWalk	MA_RW_000_WK01.spr	\spr\npcres\man\MA_RW_000_WK01.spr	6FD3F30B	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	13	NormalWalk	MA_RW_000_WK01.spr	\spr\npcres\man\MA_RW_000_WK01.spr	6FD3F30B	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	14	MeleeWWalk	MA_RW_000_WK02.spr	\spr\npcres\man\MA_RW_000_WK02.spr	6969F98D	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	15	RangeWWalk	MA_RW_000_WK03.spr	\spr\npcres\man\MA_RW_000_WK03.spr	6AE7EC0F	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	16	DoubleWWalk	MA_RW_000_WK04.spr	\spr\npcres\man\MA_RW_000_WK04.spr	647D9281	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	17	SwordShieldWWalk	MA_RW_164_WK05.spr	\spr\npcres\man\MA_RW_164_WK05.spr	3CA1A27E	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	18	ShieldSwordWWalk	MA_RW_164_WK05.spr	\spr\npcres\man\MA_RW_164_WK05.spr	3CA1A27E	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	19	GuqinWWalk	MA_RW_000_WK06.spr	\spr\npcres\man\MA_RW_000_WK06.spr	63018F85	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	20	FreeRun	MA_RW_000_RN01.spr	\spr\npcres\man\MA_RW_000_RN01.spr	A62F36BB	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	21	NormalRun	MA_RW_000_RN01.spr	\spr\npcres\man\MA_RW_000_RN01.spr	A62F36BB	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	22	MeleeWRun	MA_RW_000_RN02.spr	\spr\npcres\man\MA_RW_000_RN02.spr	A3A53D3D	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	23	RangeWRun	MA_RW_000_RN03.spr	\spr\npcres\man\MA_RW_000_RN03.spr	BD3323BF	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	24	DoubleWRun	MA_RW_000_RN04.spr	\spr\npcres\man\MA_RW_000_RN04.spr	BE49D631	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	25	SwordShieldWRun	MA_RW_164_RN05.spr	\spr\npcres\man\MA_RW_164_RN05.spr	76FDF448	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	26	ShieldSwordWRun	MA_RW_164_RN06.spr	\spr\npcres\man\MA_RW_164_RN06.spr	700BFACA	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	27	GuqinWRun	MA_RW_000_RN07.spr	\spr\npcres\man\MA_RW_000_RN07.spr	B6EBC9B7	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	28	FreeWound	MA_RW_000_IJ01.spr	\spr\npcres\man\MA_RW_000_IJ01.spr	293E712D	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	29	MeleeWWound	MA_RW_000_IJ02.spr	\spr\npcres\man\MA_RW_000_IJ02.spr	2AB467AF	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	30	RangeWWound	MA_RW_000_IJ03.spr	\spr\npcres\man\MA_RW_000_IJ03.spr	27C26A21	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	31	DoubleWWound	MA_RW_000_IJ04.spr	\spr\npcres\man\MA_RW_000_IJ04.spr	215810A3	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	32	SwordShieldWWound	MA_RW_164_IJ05.spr	\spr\npcres\man\MA_RW_164_IJ05.spr	F98C2390	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	33	ShieldSwordWWound	MA_RW_164_IJ05.spr	\spr\npcres\man\MA_RW_164_IJ05.spr	F98C2390	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	34	GuqinWWound	MA_RW_000_IJ06.spr	\spr\npcres\man\MA_RW_000_IJ06.spr	3C6C0DA7	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	35	FreeDie	MA_RW_000_DE01.spr	\spr\npcres\man\MA_RW_000_DE01.spr	45EEF038	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	36	MeleeWDie	MA_RW_000_DE02.spr	\spr\npcres\man\MA_RW_000_DE02.spr	4764E6BA	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	37	RangeWDie	MA_RW_000_DE03.spr	\spr\npcres\man\MA_RW_000_DE03.spr	40F2ED3C	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	38	DoubleWDie	MA_RW_000_DE04.spr	\spr\npcres\man\MA_RW_000_DE04.spr	420893BE	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	39	SwordShieldWDie	MA_RW_164_DE05.spr	\spr\npcres\man\MA_RW_164_DE05.spr	1ABCB1D5	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	40	ShieldSwordWDie	MA_RW_164_DE05.spr	\spr\npcres\man\MA_RW_164_DE05.spr	1ABCB1D5	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	41	GuqinWDie	MA_RW_000_DE06.spr	\spr\npcres\man\MA_RW_000_DE06.spr	591C8CB2	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	42	FreeAttack	MA_RW_000_AT01.spr	\spr\npcres\man\MA_RW_000_AT01.spr	3A9E6528	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	43	MeleeWPuncture	MA_RW_000_AT02.spr	\spr\npcres\man\MA_RW_000_AT02.spr	34146BAA	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	44	MeleeWCut	MA_RW_000_AT03.spr	\spr\npcres\man\MA_RW_000_AT03.spr	31A21E2C	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	45	RangeWPuncture	MA_RW_000_AT04.spr	\spr\npcres\man\MA_RW_000_AT04.spr	333804AE	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	46	RangeWCut	MA_RW_000_AT05.spr	\spr\npcres\man\MA_RW_000_AT05.spr	0CB60B20	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	47	DoubleWPull	MA_RW_000_AT06.spr	\spr\npcres\man\MA_RW_000_AT06.spr	09CC31A2	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	48	DoubleWPound	MA_RW_000_AT07.spr	\spr\npcres\man\MA_RW_000_AT07.spr	0B5A2424	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	49	SwordShieldWChop	MA_RW_164_AT08.spr	\spr\npcres\man\MA_RW_164_AT08.spr	438EF6D6	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	50	SwordShieldWCut	MA_RW_164_AT09.spr	\spr\npcres\man\MA_RW_164_AT09.spr	5D04FD48	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	51	ShieldSwordWChop	MA_RW_164_AT08.spr	\spr\npcres\man\MA_RW_164_AT08.spr	438EF6D6	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	52	ShieldSwordWCut	MA_RW_164_AT09.spr	\spr\npcres\man\MA_RW_164_AT09.spr	5D04FD48	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	53	GuqinWPuncture	MA_RW_000_AT10.spr	\spr\npcres\man\MA_RW_000_AT10.spr	46D970B3	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	54	GuqinWCut	MA_RW_000_AT11.spr	\spr\npcres\man\MA_RW_000_AT11.spr	40576735	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	55	DartThrow	MA_RW_000_MG01.spr	\spr\npcres\man\MA_RW_000_MG01.spr	38A75538	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	56	FreeMagic	MA_RW_000_MG02.spr	\spr\npcres\man\MA_RW_000_MG02.spr	3A3D5BBA	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	57	MeleeWMagic	MA_RW_000_MG03.spr	\spr\npcres\man\MA_RW_000_MG03.spr	374B4E3C	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	58	RangeWMagic	MA_RW_000_MG04.spr	\spr\npcres\man\MA_RW_000_MG04.spr	30C174BE	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	59	DoubleWMagic	MA_RW_000_MG05.spr	\spr\npcres\man\MA_RW_000_MG05.spr	325F7B30	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	60	SwordShieldWMagic	MA_RW_164_MG06.spr	\spr\npcres\man\MA_RW_164_MG06.spr	4A830DE2	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	61	ShieldSwordWMagic	MA_RW_164_MG06.spr	\spr\npcres\man\MA_RW_164_MG06.spr	4A830DE2	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	62	GuqinWMagic	MA_RW_000_MG07.spr	\spr\npcres\man\MA_RW_000_MG07.spr	09631434	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	271	269	63	SitDown	MA_RW_000_ZZ01.spr	\spr\npcres\man\MA_RW_000_ZZ01.spr	FE781C7E	1	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	64	JumpFly	MA_RW_000_JP01.spr	\spr\npcres\man\MA_RW_000_JP01.spr	9A6C41FB	1	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	271	269	65	RideStand	MA_RW_164_RD01.spr	\spr\npcres\man\MA_RW_164_RD01.spr	3D012E9E	1	JX1:updatejx15.pak
