kieu	ids	kind	CharacterType	ResFilePath	normal_res	spr_info	nguon_hang	actions	path	uid	trang_thai	sua	ghi_chu
passerby345	2475	co	NormalNpc	spr\npcres\passerby\passerby345	co	co	JX1	Attack1	\spr\npcres\passerby\passerby345\passerby345_at01.spr	D8636B35	JX1:updatejx15.pak		
passerby345	2475	co	NormalNpc	spr\npcres\passerby\passerby345	co	co	JX1	Attack2,Magic	\spr\npcres\passerby\passerby345\passerby345_at02.spr	D405F5B4	JX1:updatejx15.pak		
passerby027	2480	co	NormalNpc	spr\npcres\passerby\passerby027	co	co	JX1	FightStand,NormalStand1,SitDown	\spr\npcres\passerby\passerby027\passerby027z.spr	FE9FBDA0	JX1:spr.pak		
passerby027	2480	co	NormalNpc	spr\npcres\passerby\passerby027	co	co	JX1	NormalStand2	\spr\npcres\passerby\passerby027\passerby027s.spr	15602BFB	JX1:spr.pak		
passerby175	2481	co	NormalNpc	spr\npcres\passerby\passerby175	co	co	JX1	FightStand,NormalStand1,SitDown	\spr\npcres\passerby\passerby175\passerby175_st.spr	6D438F02	JX1:spr.pak		
passerby175	2481	co	NormalNpc	spr\npcres\passerby\passerby175	co	co	JX1	NormalStand2	\spr\npcres\passerby\passerby175\passerby175_pst.spr	D551A6DB	JX1:spr.pak		
passerby320	2482	co	NormalNpc	spr\npcres\passerby\passerby320	co	co	JX1	FightStand	\spr\npcres\passerby\passerby320\qinglvhupizhuang(nv)_st01.spr	367650A5	THIEU CA HAI		
passerby320	2482	co	NormalNpc	spr\npcres\passerby\passerby320	co	co	JX1	NormalStand1,NormalStand2,SitDown	\spr\npcres\passerby\passerby320\qinglvhupizhuang(nv)_st02.spr	0D6D26FB	THIEU CA HAI		
passerby320	2482	co	NormalNpc	spr\npcres\passerby\passerby320	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,JunpFly	\spr\npcres\passerby\passerby320\qinglvhupizhuang(nv)_wlk.spr	A20CFCDD	THIEU CA HAI		
passerby320	2482	co	NormalNpc	spr\npcres\passerby\passerby320	co	co	JX1	Wound	\spr\npcres\passerby\passerby320\qinglvhupizhuang(nv)_bat.spr	759C2BED	THIEU CA HAI		
passerby320	2482	co	NormalNpc	spr\npcres\passerby\passerby320	co	co	JX1	Die	\spr\npcres\passerby\passerby320\qinglvhupizhuang(nv)_die.spr	A01F3336	THIEU CA HAI		
passerby320	2482	co	NormalNpc	spr\npcres\passerby\passerby320	co	co	JX1	Attack1	\spr\npcres\passerby\passerby320\qinglvhupizhuang(nv)_at01.spr	A4A2E9EC	THIEU CA HAI		
passerby320	2482	co	NormalNpc	spr\npcres\passerby\passerby320	co	co	JX1	Attack2,Magic	\spr\npcres\passerby\passerby320\qinglvhupizhuang(nv)_at02.spr	A39A7F42	THIEU CA HAI		
passerby297	2483,2294	co	NormalNpc	spr\npcres\passerby\passerby297	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby297\passerby297_st01.spr	079C41A1	JX1:updatejx14.pak		
enemy088	2490	co	NormalNpc	spr\npcres\enemy\enemy088	co	co	JX1	FightStand,NormalStand1,FightWalk,NormalWalk,FightRun,NormalRun,Wound,Die,SitDown,JunpFly	\spr\npcres\enemy\enemy088\enemy088_st.spr	F21B9557	JX1:spr.pak		
enemy088	2490	co	NormalNpc	spr\npcres\enemy\enemy088	co	co	JX1	NormalStand2	\spr\npcres\enemy\enemy088\enemy088_pst.spr	9E1A867B	JX1:spr.pak		
enemy088	2490	co	NormalNpc	spr\npcres\enemy\enemy088	co	co	JX1	Attack1,Attack2	\spr\npcres\enemy\enemy088\enemy088_at.spr	303516AD	JX1:spr.pak		
passerby388	2494,2268,2276,2283	co	NormalNpc	spr\npcres\passerby\passerby388	co	co	JX1	FightStand,NormalStand1,NormalStand2,SitDown	\spr\npcres\passerby\passerby388\passerby388_st.spr	0B1A76B7	JX1:updatejx14.pak		
passerby044	1846	co	NormalNpc	spr\npcres\passerby\passerby044	co	co	JX1	FightStand,NormalStand1,NormalStand2,SitDown	\spr\npcres\passerby\passerby044\passerby044z.spr	A7479F98	JX1:spr.pak		
passerby198	625	co	NormalNpc	spr\npcres\passerby\passerby198	co	co	JX1	FightStand,NormalStand1,NormalStand2,SitDown	\spr\npcres\passerby\passerby198\passerby198.spr	DEC99228	JX1:update01.pak		
passerby438	2608	co	NormalNpc	spr\npcres\passerby\passerby438	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby438\passerby438.spr	17D61C88	JX1:updatejx16.pak		
passerby436	2609	co	NormalNpc	spr\npcres\passerby\passerby436	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby436\passerby436.spr	BE380105	JX1:updatejx16.pak		
passerby437	2610	co	NormalNpc	spr\npcres\passerby\passerby437	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby437\passerby437.spr	093DBEC9	JX1:updatejx16.pak		
passerby431	2611	co	NormalNpc	spr\npcres\passerby\passerby431	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby431\passerby431.spr	A84E63A7	JX1:updatejx16.pak		
passerby439	2612	co	NormalNpc	spr\npcres\passerby\passerby439	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby439\passerby439.spr	4A362EEC	JX1:updatejx16.pak		
passerby432	2613	co	NormalNpc	spr\npcres\passerby\passerby432	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby432\passerby432_st01.spr	708EEDBB	JX1:updatejx16.pak		
passerby432	2613	co	NormalNpc	spr\npcres\passerby\passerby432	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,JunpFly	\spr\npcres\passerby\passerby432\passerby432_wlk.spr	96815FF3	JX1:updatejx16.pak		
passerby433	2614	co	NormalNpc	spr\npcres\passerby\passerby433	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby433\passerby433_st01.spr	C3C72650	JX1:updatejx16.pak		
passerby433	2614	co	NormalNpc	spr\npcres\passerby\passerby433	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,JunpFly	\spr\npcres\passerby\passerby433\passerby433_wlk.spr	4AB02F3D	JX1:updatejx16.pak		
boss130	2185	co	NormalNpc	spr\npcres\boss\boss130	co	co	JX1	FightStand	\spr\npcres\boss\boss130\boss130_st01.spr	11B64F7B	JX1:updatejx14.pak		
boss130	2185	co	NormalNpc	spr\npcres\boss\boss130	co	co	JX1	NormalStand1,NormalStand2,SitDown	\spr\npcres\boss\boss130\boss130_st02.spr	12542D36	JX1:updatejx14.pak		
boss130	2185	co	NormalNpc	spr\npcres\boss\boss130	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,Wound,JunpFly	\spr\npcres\boss\boss130\boss130_wlk.spr	20386985	JX1:updatejx14.pak		
boss130	2185	co	NormalNpc	spr\npcres\boss\boss130	co	co	JX1	Die	\spr\npcres\boss\boss130\boss130_die.spr	F704C23F	JX1:updatejx14.pak		
boss130	2185	co	NormalNpc	spr\npcres\boss\boss130	co	co	JX1	Attack1	\spr\npcres\boss\boss130\boss130_at01.spr	97BC5772	JX1:updatejx14.pak		
boss130	2185	co	NormalNpc	spr\npcres\boss\boss130	co	co	JX1	Attack2,Magic	\spr\npcres\boss\boss130\boss130_at02.spr	9052352D	JX1:updatejx14.pak		
enemy076	2186,2209,2326,2327,2341,2390,2391,2405	co	NormalNpc	spr\npcres\enemy\enemy076	co	co	JX1	FightStand,NormalStand1,SitDown	\spr\npcres\enemy\enemy076\enemy076_st.spr	B7F66E19	JX1:spr.pak		
enemy076	2186,2209,2326,2327,2341,2390,2391,2405	co	NormalNpc	spr\npcres\enemy\enemy076	co	co	JX1	NormalStand2	\spr\npcres\enemy\enemy076\enemy076_pst.spr	7F4151C9	JX1:spr.pak		
enemy076	2186,2209,2326,2327,2341,2390,2391,2405	co	NormalNpc	spr\npcres\enemy\enemy076	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,JunpFly	\spr\npcres\enemy\enemy076\enemy076_wlk.spr	DFE58726	JX1:spr.pak		
enemy076	2186,2209,2326,2327,2341,2390,2391,2405	co	NormalNpc	spr\npcres\enemy\enemy076	co	co	JX1	Wound	\spr\npcres\enemy\enemy076\enemy076_bat.spr	009F2553	JX1:spr.pak		
enemy076	2186,2209,2326,2327,2341,2390,2391,2405	co	NormalNpc	spr\npcres\enemy\enemy076	co	co	JX1	Die	\spr\npcres\enemy\enemy076\enemy076_die.spr	759181FD	JX1:spr.pak		
enemy076	2186,2209,2326,2327,2341,2390,2391,2405	co	NormalNpc	spr\npcres\enemy\enemy076	co	co	JX1	Attack1,Attack2,Magic	\spr\npcres\enemy\enemy076\enemy076_at.spr	F5A7E07F	JX1:spr.pak		
enemy079	2187,2188,2189,2190,2191,2192,2193,2194,2210,2211,2212,2213,2214,2215,2216,2217,2222,2223,2224,2225,2226,2227,2316	co	NormalNpc	spr\npcres\enemy\enemy079	co	co	JX1	FightStand,NormalStand1,SitDown	\spr\npcres\enemy\enemy079\enemy079_st.spr	27540A49	JX1:spr.pak		
enemy079	2187,2188,2189,2190,2191,2192,2193,2194,2210,2211,2212,2213,2214,2215,2216,2217,2222,2223,2224,2225,2226,2227,2316	co	NormalNpc	spr\npcres\enemy\enemy079	co	co	JX1	NormalStand2	\spr\npcres\enemy\enemy079\enemy079_pst.spr	71C0F1E4	JX1:spr.pak		
enemy079	2187,2188,2189,2190,2191,2192,2193,2194,2210,2211,2212,2213,2214,2215,2216,2217,2222,2223,2224,2225,2226,2227,2316	co	NormalNpc	spr\npcres\enemy\enemy079	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,JunpFly	\spr\npcres\enemy\enemy079\enemy079_wlk.spr	D6652A81	JX1:spr.pak		
enemy079	2187,2188,2189,2190,2191,2192,2193,2194,2210,2211,2212,2213,2214,2215,2216,2217,2222,2223,2224,2225,2226,2227,2316	co	NormalNpc	spr\npcres\enemy\enemy079	co	co	JX1	Wound	\spr\npcres\enemy\enemy079\enemy079_bat.spr	1B1F456E	JX1:spr.pak		
enemy079	2187,2188,2189,2190,2191,2192,2193,2194,2210,2211,2212,2213,2214,2215,2216,2217,2222,2223,2224,2225,2226,2227,2316	co	NormalNpc	spr\npcres\enemy\enemy079	co	co	JX1	Die	\spr\npcres\enemy\enemy079\enemy079_die.spr	4C112382	JX1:spr.pak		
enemy079	2187,2188,2189,2190,2191,2192,2193,2194,2210,2211,2212,2213,2214,2215,2216,2217,2222,2223,2224,2225,2226,2227,2316	co	NormalNpc	spr\npcres\enemy\enemy079	co	co	JX1	Attack1,Attack2,Magic	\spr\npcres\enemy\enemy079\enemy079_at.spr	65058FAF	JX1:spr.pak		
enemy059	2195,2218,2321,2385,2435,2454	co	NormalNpc	spr\npcres\enemy\enemy059	co	co	JX1	FightStand,NormalStand1,SitDown	\spr\npcres\enemy\enemy059\enemy059_st.spr	3FB6AC6A	JX1:spr.pak		
enemy059	2195,2218,2321,2385,2435,2454	co	NormalNpc	spr\npcres\enemy\enemy059	co	co	JX1	NormalStand2	\spr\npcres\enemy\enemy059\enemy059_pst.spr	FB9C7DD3	JX1:spr.pak		
enemy059	2195,2218,2321,2385,2435,2454	co	NormalNpc	spr\npcres\enemy\enemy059	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,JunpFly	\spr\npcres\enemy\enemy059\enemy059_wlk.spr	58315770	JX1:spr.pak		
enemy059	2195,2218,2321,2385,2435,2454	co	NormalNpc	spr\npcres\enemy\enemy059	co	co	JX1	Wound	\spr\npcres\enemy\enemy059\enemy059_bat.spr	9CEAC15D	JX1:spr.pak		
enemy059	2195,2218,2321,2385,2435,2454	co	NormalNpc	spr\npcres\enemy\enemy059	co	co	JX1	Die	\spr\npcres\enemy\enemy059\enemy059_die.spr	F1ECAC71	JX1:spr.pak		
enemy059	2195,2218,2321,2385,2435,2454	co	NormalNpc	spr\npcres\enemy\enemy059	co	co	JX1	Attack1,Attack2,Magic	\spr\npcres\enemy\enemy059\enemy059_at.spr	7D6021C0	JX1:spr.pak		
enemy023	2196,2219,2301,2504	co	NormalNpc	spr\npcres\enemy\enemy023	co	co	JX1	FightStand,NormalStand1,SitDown	\spr\npcres\enemy\enemy023\enemy023_st.spr	B2E9EA5A	JX1:spr.pak		
enemy023	2196,2219,2301,2504	co	NormalNpc	spr\npcres\enemy\enemy023	co	co	JX1	NormalStand2	\spr\npcres\enemy\enemy023\enemy023_pst.spr	D2951198	JX1:spr.pak		
enemy023	2196,2219,2301,2504	co	NormalNpc	spr\npcres\enemy\enemy023	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,JunpFly	\spr\npcres\enemy\enemy023\enemy023_wlk.spr	32CA47F5	JX1:spr.pak		
enemy023	2196,2219,2301,2504	co	NormalNpc	spr\npcres\enemy\enemy023	co	co	JX1	Wound	\spr\npcres\enemy\enemy023\enemy023_bat.spr	77E3F1D2	JX1:spr.pak		
enemy023	2196,2219,2301,2504	co	NormalNpc	spr\npcres\enemy\enemy023	co	co	JX1	Die	\spr\npcres\enemy\enemy023\enemy023_die.spr	A8E65CF6	JX1:spr.pak		
enemy023	2196,2219,2301,2504	co	NormalNpc	spr\npcres\enemy\enemy023	co	co	JX1	Attack1,Attack2,Magic	\spr\npcres\enemy\enemy023\enemy023_at.spr	709B6CFB	JX1:spr.pak		
passerby341_jin	2197,2220,2331,2395	co	NormalNpc	spr\npcres\passerby\passerby341_zhuzi	co	co	JX1	FightStand,NormalStand1,NormalStand2,FightWalk,NormalWalk,FightRun,NormalRun,Wound,Die,Attack1,Attack2,Magic,SitDown,JunpFly	\spr\npcres\passerby\passerby341_zhuzi\½ðÉ«.spr	A3BE7D7C	JX1:updatejx08.pak		
ani066	2198,2221,2239,2320,2384	co	NormalNpc	spr\npcres\animal\ani066	co	co	JX1	FightStand,NormalStand1,SitDown	\spr\npcres\animal\ani066\ani066_st.spr	6DE5F156	JX1:spr.pak		
ani066	2198,2221,2239,2320,2384	co	NormalNpc	spr\npcres\animal\ani066	co	co	JX1	NormalStand2	\spr\npcres\animal\ani066\ani066_pst.spr	BF5A2F57	JX1:spr.pak		
ani066	2198,2221,2239,2320,2384	co	NormalNpc	spr\npcres\animal\ani066	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,JunpFly	\spr\npcres\animal\ani066\ani066_wlk.spr	3963D66D	JX1:spr.pak		
ani066	2198,2221,2239,2320,2384	co	NormalNpc	spr\npcres\animal\ani066	co	co	JX1	Wound	\spr\npcres\animal\ani066\ani066_bat.spr	8F2C68ED	JX1:spr.pak		
ani066	2198,2221,2239,2320,2384	co	NormalNpc	spr\npcres\animal\ani066	co	co	JX1	Die	\spr\npcres\animal\ani066\ani066_die.spr	CC4FB7FD	JX1:spr.pak		
ani066	2198,2221,2239,2320,2384	co	NormalNpc	spr\npcres\animal\ani066	co	co	JX1	Attack1,Attack2,Magic	\spr\npcres\animal\ani066\ani066_at.spr	1D67B532	JX1:spr.pak		
enemy081	2199,2200,2235,2236,2420,2511	co	NormalNpc	spr\npcres\enemy\enemy081	co	co	JX1	FightStand,NormalStand1,SitDown	\spr\npcres\enemy\enemy081\enemy081_st.spr	904DBB92	JX1:spr.pak		
enemy081	2199,2200,2235,2236,2420,2511	co	NormalNpc	spr\npcres\enemy\enemy081	co	co	JX1	NormalStand2	\spr\npcres\enemy\enemy081\enemy081_pst.spr	5775AC2B	JX1:spr.pak		
enemy081	2199,2200,2235,2236,2420,2511	co	NormalNpc	spr\npcres\enemy\enemy081	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,JunpFly	\spr\npcres\enemy\enemy081\enemy081_wlk.spr	B7AA94F2	JX1:spr.pak		
enemy081	2199,2200,2235,2236,2420,2511	co	NormalNpc	spr\npcres\enemy\enemy081	co	co	JX1	Wound	\spr\npcres\enemy\enemy081\enemy081_bat.spr	784C2440	JX1:spr.pak		
enemy081	2199,2200,2235,2236,2420,2511	co	NormalNpc	spr\npcres\enemy\enemy081	co	co	JX1	Die	\spr\npcres\enemy\enemy081\enemy081_die.spr	AD468364	JX1:spr.pak		
enemy081	2199,2200,2235,2236,2420,2511	co	NormalNpc	spr\npcres\enemy\enemy081	co	co	JX1	Attack1,Attack2,Magic	\spr\npcres\enemy\enemy081\enemy081_at.spr	567F3CAD	JX1:spr.pak		
boss115	2201	co	NormalNpc	spr\npcres\boss\boss115	co	co	JX1	FightStand	\spr\npcres\boss\boss115\boss115_st01.spr	78FD8CA9	JX1:updatejx14.pak		
boss115	2201	co	NormalNpc	spr\npcres\boss\boss115	co	co	JX1	NormalStand1,NormalStand2,SitDown	\spr\npcres\boss\boss115\boss115_st02.spr	759C6B64	JX1:updatejx14.pak		
boss115	2201	co	NormalNpc	spr\npcres\boss\boss115	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,JunpFly	\spr\npcres\boss\boss115\boss115_wlk.spr	F299F727	JX1:updatejx14.pak		
boss115	2201	co	NormalNpc	spr\npcres\boss\boss115	co	co	JX1	Wound	\spr\npcres\boss\boss115\boss115_bat.spr	C05A095C	JX1:updatejx14.pak		
boss115	2201	co	NormalNpc	spr\npcres\boss\boss115	co	co	JX1	Die	\spr\npcres\boss\boss115\boss115_die.spr	81E65721	JX1:updatejx14.pak		
boss115	2201	co	NormalNpc	spr\npcres\boss\boss115	co	co	JX1	Attack1	\spr\npcres\boss\boss115\boss115_at01.spr	FEFBE150	JX1:updatejx14.pak		
boss115	2201	co	NormalNpc	spr\npcres\boss\boss115	co	co	JX1	Attack2,Magic	\spr\npcres\boss\boss115\boss115_at02.spr	FB9A4F0B	JX1:updatejx14.pak		
passerby386	2202	co	NormalNpc	spr\npcres\passerby\passerby386	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby386\passerby386_st01.spr	87F47D25	JX1:updatejx14.pak		
passerby387	2203	co	NormalNpc	spr\npcres\passerby\passerby387	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby387\passerby387_st01.spr	8506758C	JX1:updatejx14.pak		
boss034	2204	co	NormalNpc	spr\npcres\boss\boss034	co	co	JX1	FightStand	\spr\npcres\boss\boss034\partner_waterchildren_st01.spr	4D6C77AA	JX1:update03.pak		
boss034	2204	co	NormalNpc	spr\npcres\boss\boss034	co	co	JX1	NormalStand1,NormalStand2,SitDown	\spr\npcres\boss\boss034\partner_waterchildren_st02.spr	493365D7	JX1:update03.pak		
boss034	2204	co	NormalNpc	spr\npcres\boss\boss034	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,JunpFly	\spr\npcres\boss\boss034\partner_waterchildren_wlk.spr	10386D67	JX1:update03.pak		
boss034	2204	co	NormalNpc	spr\npcres\boss\boss034	co	co	JX1	Wound	\spr\npcres\boss\boss034\partner_waterchildren_bat.spr	B0757355	JX1:update03.pak		
boss034	2204	co	NormalNpc	spr\npcres\boss\boss034	co	co	JX1	Die	\spr\npcres\boss\boss034\partner_waterchildren_die.spr	7B8DC990	JX1:update03.pak		
boss034	2204	co	NormalNpc	spr\npcres\boss\boss034	co	co	JX1	Attack1,Attack2,Magic	\spr\npcres\boss\boss034\partner_waterchildren_at.spr	EF673D06	JX1:update03.pak		
boss140	2205	THIEU			co	co	JX1				(khong co o)		kind THIEU (VLTK co, nhung tep VLTK cung khong pak nao co)
boss141	2206	THIEU			co	co	JX1				(khong co o)		kind THIEU (VLTK co, nhung tep VLTK cung khong pak nao co)
boss011	2207	co	NormalNpc	spr\npcres\boss\boss011	co	co	JX1	FightStand,NormalStand1,NormalStand2,SitDown	\spr\npcres\boss\boss011\boss011_st.spr	A7F5873D	JX1:spr.pak		
boss011	2207	co	NormalNpc	spr\npcres\boss\boss011	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,JunpFly	\spr\npcres\boss\boss011\boss011_wlk.spr	0450E331	JX1:spr.pak		
boss011	2207	co	NormalNpc	spr\npcres\boss\boss011	co	co	JX1	Wound	\spr\npcres\boss\boss011\boss011_bat.spr	1A112576	JX1:spr.pak		
boss011	2207	co	NormalNpc	spr\npcres\boss\boss011	co	co	JX1	Die	\spr\npcres\boss\boss011\boss011_die.spr	DBBD433B	JX1:spr.pak		
boss011	2207	co	NormalNpc	spr\npcres\boss\boss011	co	co	JX1	Attack1	\spr\npcres\boss\boss011\boss011_at01.spr	499C6086	JX1:spr.pak		
boss011	2207	co	NormalNpc	spr\npcres\boss\boss011	co	co	JX1	Attack2,Magic	\spr\npcres\boss\boss011\boss011_at02.spr	4AB2CF31	JX1:spr.pak		
passerby354r	2208	co	NormalNpc	spr\npcres\passerby\passerby354	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby354\mu02.spr	DC27695C	JX1:updatejx10.pak		
boss120	2228	co	NormalNpc	spr\npcres\boss\boss120	co	co	JX1	NormalStand1,NormalStand2	\spr\npcres\boss\boss120\boss120_st.spr	9A5E66B4	THIEU CA HAI		
boss120	2228	co	NormalNpc	spr\npcres\boss\boss120	co	co	JX1	NormalWalk	\spr\npcres\boss\boss120\boss120_wlk.spr	8B023FC5	THIEU CA HAI		
boss120	2228	co	NormalNpc	spr\npcres\boss\boss120	co	co	JX1	NormalRun	\spr\npcres\boss\boss120\boss120_run.spr	81101DA8	THIEU CA HAI		
boss068	2229	co	NormalNpc	spr\npcres\boss\boss068	co	co	JX1	FightStand,NormalStand1,NormalStand2,SitDown	\spr\npcres\boss\boss068\boss068_st01.spr	5496F46B	JX1:update03.pak		
boss068	2229	co	NormalNpc	spr\npcres\boss\boss068	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,JunpFly	\spr\npcres\boss\boss068\boss068_wlk.spr	92D87A30	THIEU CA HAI		
boss068	2229	co	NormalNpc	spr\npcres\boss\boss068	co	co	JX1	Wound	\spr\npcres\boss\boss068\boss068_bat.spr	6098BC75	THIEU CA HAI		
