Level	MagAttr1	Param1	Param2	Param3	spr	MagAttr2	Param1	Param2	Param3	spr	MagAttr3	Param1	Param2	Param3	spr	MagAttr4	Param1	Param2	Param3	spr
26	enhancehit_rate	2	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	20	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	12	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	4	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
27	enhancehit_rate	2	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	20	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	12	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	4	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
28	enhancehit_rate	2	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	20	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	12	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	4	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
29	enhancehit_rate	2	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	20	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	12	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	4	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
30	enhancehit_rate	2	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	20	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	12	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	4	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
31	enhancehit_rate	2	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	20	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	12	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	4	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
32	enhancehit_rate	2	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	20	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	12	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	4	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
33	enhancehit_rate	2	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	20	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	12	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	4	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
34	enhancehit_rate	2	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	20	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	12	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	4	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
35	enhancehit_rate	2	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	20	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	12	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	4	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
36	enhancehit_rate	2	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	20	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	12	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	4	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
37	enhancehit_rate	2	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	20	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	12	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	4	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
38	enhancehit_rate	2	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	20	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	12	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	4	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
39	enhancehit_rate	2	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	20	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	12	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	4	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
40	enhancehit_rate	2	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	20	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	12	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	4	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
41	enhancehit_rate	3	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	22	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	16	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	5	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
42	enhancehit_rate	3	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	24	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	16	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	5	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
43	enhancehit_rate	4	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	26	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	20	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	6	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
44	enhancehit_rate	4	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	28	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	20	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	6	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
45	enhancehit_rate	4	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	30	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	24	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	6	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
46	enhancehit_rate	4	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	32	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	24	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	6	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
47	enhancehit_rate	5	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	34	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	28	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	7	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
48	enhancehit_rate	5	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	36	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	28	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	7	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
49	enhancehit_rate	5	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	38	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	7	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
50	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
51	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
52	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
53	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
54	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
55	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
56	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
57	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
58	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
59	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
60	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
61	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
62	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
63	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
64	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
65	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
66	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
67	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
68	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
69	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
70	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	40	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	32	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	8	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
71	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	41	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	35	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	9	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
72	enhancehit_rate	6	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	42	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	35	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	9	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
73	enhancehit_rate	7	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	43	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	38	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	10	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
74	enhancehit_rate	7	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	44	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	38	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	10	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
75	enhancehit_rate	7	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	45	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	41	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	10	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
76	enhancehit_rate	7	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	46	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	41	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	10	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
77	enhancehit_rate	7	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	47	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	44	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	11	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
78	enhancehit_rate	7	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	48	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	44	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	11	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
79	enhancehit_rate	7	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	49	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	11	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
80	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
81	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
82	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
83	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
84	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
85	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
86	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
87	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
