chuyen_lua4_54: 2986 tep .lua, 135 tep co thay doi
  ESCAPE=17, FORIN=142, LSTR=0, NUMKW=1, UPVAL=415, VARARG=41

protocol.lua:105  for key, v in self.KE_SCRIPT_PROTOCOL -> pairs(self.KE_SCRIPT_PROTOCOL)
global/smeltsystem/smeltupgrade.lua:189  for k, v in tbItemNum -> pairs(tbItemNum)
global/smeltsystem/smeltupgrade.lua:190  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:191  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:193  %WEN_JING_MONEY -> WEN_JING_MONEY
global/smeltsystem/smeltupgrade.lua:203  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:208  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:208  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:208  %WEN_JING_MONEY -> WEN_JING_MONEY
global/smeltsystem/smeltupgrade.lua:214  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:230  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:246  for k, v in tbItemNum -> pairs(tbItemNum)
global/smeltsystem/smeltupgrade.lua:247  %GetItemIdx -> GetItemIdx
global/smeltsystem/smeltupgrade.lua:248  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:249  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:253  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:254  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:259  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:267  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:271  %WEN_JING_MONEY -> WEN_JING_MONEY
global/smeltsystem/smeltupgrade.lua:272  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:272  %WEN_JING_MONEY -> WEN_JING_MONEY
global/smeltsystem/smeltupgrade.lua:277  for k, v in tbItemNum -> pairs(tbItemNum)
global/smeltsystem/smeltupgrade.lua:278  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:281  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:297  for k, v in tbItemNum -> pairs(tbItemNum)
global/smeltsystem/smeltupgrade.lua:298  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:299  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:300  %WEN_JING_MONEY -> WEN_JING_MONEY
global/smeltsystem/smeltupgrade.lua:309  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:315  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:317  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:318  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:334  %GetItemIdx -> GetItemIdx
global/smeltsystem/smeltupgrade.lua:336  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:340  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:340  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:341  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:346  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:350  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:351  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:352  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:355  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:361  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:366  %FUSION_MSG -> FUSION_MSG
global/ÌØÊâÓÃµØ/ËÎ½ð±¨Ãûµã/npc/songjin_shophead.lua:140  %tbProduct -> tbProduct
global/ÌØÊâÓÃµØ/ËÎ½ð±¨Ãûµã/npc/songjin_shophead.lua:160  %tbProduct -> tbProduct
huoyuedu/huoyuedu.lua:198  for _, value in tbActivity2ID -> pairs(tbActivity2ID)
huoyuedu/huoyuedu.lua:218  for _, value in tbActivity2ID -> pairs(tbActivity2ID)
huoyuedu/huoyuedu.lua:231  for _, nActivityId in tbActivity2ID -> pairs(tbActivity2ID)
item/bd_lenhbai_info.lua:19  for k, v in tbBeidou.LENHBAI_HD -> pairs(tbBeidou.LENHBAI_HD)
item/bosscharm.lua:10  %tbUseOnlyInMap -> tbUseOnlyInMap
item/bosscharm.lua:11  %tbUseOnlyInMap -> tbUseOnlyInMap
item/bosscharm.lua:52  %checkOnlyUseInMap -> checkOnlyUseInMap
item/hd3_admin.lua:129  "\script\tinhnang\3hoatdong\hd3_reload.lua" -> "script\tinhnang\3hoatdonghd3_reload.lua"
item/item_jingjingkuang.lua:172  %tbJingJingKuangAwardList -> tbJingJingKuangAwardList
item/item_jingtiekuang.lua:95  %tbJingTieKuangAwardList -> tbJingTieKuangAwardList
item/skillbook.lua:73  %faction_skill_list -> faction_skill_list
item/skillbook.lua:76  %faction_skill_list -> faction_skill_list
item/skillbook.lua:84  %faction_skill_list -> faction_skill_list
item/skillbook.lua:92  %faction_skill_list -> faction_skill_list
item/xinshirenwu/xinshibaoxiang.lua:19  %tbvng_ChestExpAward -> tbvng_ChestExpAward
item/xinshirenwu/xinshibaoxiang.lua:25  %tbvng_ChestExpAward -> tbvng_ChestExpAward
item/xinshirenwu/xinshibaoxiang.lua:31  %tbvng_ChestExpAward -> tbvng_ChestExpAward
item/xinshirenwu/xinshibaoxiang.lua:37  %tbvng_ChestExpAward -> tbvng_ChestExpAward
item/xinshirenwu/xinshibaoxiang.lua:43  %tbvng_ChestExpAward -> tbvng_ChestExpAward
item/xinshirenwu/xinshibaoxiang.lua:69  %tbvng_ChestExpAward -> tbvng_ChestExpAward
item/xinshirenwu/xinshibaoxiang.lua:75  %tbvng_ChestExpAward -> tbvng_ChestExpAward
item/xinshirenwu/xinshibaoxiang.lua:81  %tbvng_ChestExpAward -> tbvng_ChestExpAward
item/xinshirenwu/xinshibaoxiang.lua:87  %tbvng_ChestExpAward -> tbvng_ChestExpAward
item/xinshirenwu/xinshibaoxiang.lua:93  %tbvng_ChestExpAward -> tbvng_ChestExpAward
item/xinshirenwu/xinshibaoxiang.lua:99  %tbvng_ChestExpAward -> tbvng_ChestExpAward
leaguematch/head.lua:176  function(...) -> + local arg = {n=select('#',...), ...}
leaguematch/joinmatch.lua:224  function(...) -> + local arg = {n=select('#',...), ...}
leaguematch/task.lua:10  for _, tb_cal in tb_calendar -> pairs(tb_calendar)
leaguematch/task.lua:25  for i, tb in WLLS_SEASON_TB -> pairs(WLLS_SEASON_TB)
leaguematch/wlls_config.lua:66  for n_sid, tb_row in WLLS_SEASON_TB -> pairs(WLLS_SEASON_TB)
leaguematch/wlls_config.lua:76  for n_sid, tb_row in WLLS_SEASON_TB -> pairs(WLLS_SEASON_TB)
leaguematch/wlls_config.lua:83  for n_sid, n_loai in WLLS_CFG.LOAI_THEO_MUA -> pairs(WLLS_CFG.LOAI_THEO_MUA)
leaguematch/wlls_config.lua:100  for n_type, tb_data in WLLS_TAB -> pairs(WLLS_TAB)
leaguematch/wlls_config.lua:102  for n_level, tb_rows in tb_data.award_rank -> pairs(tb_data.award_rank)
leaguematch/wlls_config.lua:103  for n_row, tb_row in tb_rows -> pairs(tb_rows)
lib/awardtemplet.lua:50  for k, v in self.TYPE -> pairs(self.TYPE)
lib/baseclass.lua:21  function(...) -> + local arg = {n=select('#',...), ...}
lib/baseclass.lua:26  %t -> t
lib/baseclass.lua:35  function(...) -> + local arg = {n=select('#',...), ...}
lib/baseclass.lua:41  %t -> t
lib/common.lua:27  function(...) -> + local arg = {n=select('#',...), ...}
lib/common.lua:155  for key, val in obj -> pairs(obj)
lib/composeclass.lua:228  function(...) -> + local arg = {n=select('#',...), ...}
lib/composeex.lua:157  for k, v in tbItem -> pairs(tbItem)
lib/composeex.lua:162  for k1, v1 in v -> pairs(v)
lib/composeex.lua:170  for key, value in tbItem -> pairs(tbItem)
lib/lib_ham.lua:141  for key, value in tTable -> pairs(tTable)
lib/lib_ham.lua:180  for key, value in tTable -> pairs(tTable)
lib/log.lua:56  function(...) -> + local arg = {n=select('#',...), ...}
lib/log.lua:87  function(...) -> + local arg = {n=select('#',...), ...}
lib/log.lua:94  %tbFactionNumber2Name -> tbFactionNumber2Name
lib/log.lua:122  for k, v in self.tbLogItemCount -> pairs(self.tbLogItemCount)
lib/log.lua:132  for _, v in tbItem -> pairs(tbItem)
lib/log.lua:143  %tbFactionNumber2Name -> tbFactionNumber2Name
lib/objbuffer_head.lua:110  for key, val in tb -> pairs(tb)
lib/objbuffer_head.lua:114  for key, val in tb -> pairs(tb)
lib/progressbar.lua:35  %tbData -> tbData
lib/progressbar.lua:36  %tbData -> tbData
lib/progressbar.lua:37  %tbData -> tbData
lib/progressbar.lua:38  %tbData -> tbData
lib/progressbar.lua:39  %tbData -> tbData
lib/progressbar.lua:42  %tbData -> tbData
lib/progressbar.lua:49  %tbData -> tbData
lib/worldlibrary.lua:29  function(...) -> + local arg = {n=select('#',...), ...}
lib/worldlibrary.lua:37  function(...) -> + local arg = {n=select('#',...), ...}
lib/awardtype/simple.lua:8  for k, v in self -> pairs(self)
mail/maildef.lua:36  function(...) -> + local arg = {n=select('#',...), ...}
mail/maildef.lua:47  for _, _ in tb -> pairs(tb)
mail/maildef.lua:58  for k, x in v -> pairs(v)
mail/mailmanager.lua:186  for nId, tb in tbList -> pairs(tbList)
misc/taskmanager.lua:290  for nGroupId, bUse in self.tbUseGroup -> pairs(self.tbUseGroup)
misc/taskmanager.lua:340  for key, value in %TaskGroup -> pairs(TaskGroup)
misc/eventsys/eventsys.lua:11  for key, value in self -> pairs(self)
misc/eventsys/eventsys.lua:27  function(...) -> + local arg = {n=select('#',...), ...}
misc/eventsys/eventsys.lua:62  function(...) -> + local arg = {n=select('#',...), ...}
misc/eventsys/eventsys.lua:79  function(...) -> + local arg = {n=select('#',...), ...}
misc/eventsys/type/func.lua:107  for key, value in tbEvent -> pairs(tbEvent)
misc/eventsys/type/usetownportal.lua:5  function(...) -> + local arg = {n=select('#',...), ...}
mission/tongcastle/tongcastle.lua:154  for szName, nPoint in tbData -> pairs(tbData)
mission/tongcastle/tongcastle.lua:246  for nMapId, tb in self.tbMapList -> pairs(self.tbMapList)
mission/tongcastle/tongcastle.lua:252  for nMapId, tb in self.tbMapList -> pairs(self.tbMapList)
mission/tongcastle/tongcastle.lua:428  for nMapId, _ in self.tbMapList -> pairs(self.tbMapList)
mission/tongcastle/tongcastle.lua:439  for nMapId, _ in self.tbMapList -> pairs(self.tbMapList)
mission/tongcastle/tongcastle.lua:449  for k, v in self.tbPlayerTreePoint -> pairs(self.tbPlayerTreePoint)
mission/tongcastle/tongcastle.lua:454  for k, v in self.tbTongTreePoint -> pairs(self.tbTongTreePoint)
missions/bairenleitai/hundred_arena.lua:155  for szType, nId in self.tbRegId -> pairs(self.tbRegId)
missions/bairenleitai/hundred_arena.lua:166  function(...) -> + local arg = {n=select('#',...), ...}
missions/bairenleitai/hundred_arena.lua:289  for szname, tb in self.tbPlayerList -> pairs(self.tbPlayerList)
missions/bairenleitai/hundred_arena.lua:357  for name, tb in self.tbPlayerList -> pairs(self.tbPlayerList)
missions/bairenleitai/hundred_arena.lua:394  for szname, tb in self.tbPlayerList -> pairs(self.tbPlayerList)
missions/basemission/dungeon.lua:141  for k, v in self -> pairs(self)
missions/basemission/dungeon.lua:155  for k, v in self -> pairs(self)
missions/basemission/dungeon.lua:267  for nTimerId, tb in self._timer_ -> pairs(self._timer_)
missions/basemission/lib.lua:9  function(...) -> + local arg = {n=select('#',...), ...}
missions/basemission/lib.lua:19  function(...) -> + local arg = {n=select('#',...), ...}
missions/challengeoftime/award.lua:111  %tbAward_batch -> tbAward_batch
missions/challengeoftime/award.lua:112  %tbPro -> tbPro
missions/challengeoftime/award.lua:112  %tbAward_batch -> tbAward_batch
missions/challengeoftime/award.lua:113  %tbPro -> tbPro
missions/challengeoftime/award.lua:117  %tbPro -> tbPro
missions/challengeoftime/award.lua:118  %tbPro -> tbPro
missions/challengeoftime/chuangguang30.lua:64  function(...) -> + local arg = {n=select('#',...), ...}
missions/challengeoftime/chuangguang30.lua:77  for szType, tbId in self.tbRegist -> pairs(self.tbRegist)
missions/challengeoftime/chuangguang30.lua:171  for _, szName in (self.tbGroup[nGroup]) -> pairs((self.tbGroup[nGroup]))
missions/challengeoftime/chuangguang30.lua:190  for _, szName in (self.tbGroup[nGroup]) -> pairs((self.tbGroup[nGroup]))
missions/challengeoftime/chuangguang30.lua:202  for szName, bFlag in self.tbPlayer -> pairs(self.tbPlayer)
missions/challengeoftime/chuangguang30.lua:226  for szName, bFlag in self.tbPlayer -> pairs(self.tbPlayer)
missions/challengeoftime/doubleexp.lua:10  %tbDouble -> tbDouble
missions/challengeoftime/doubleexp.lua:11  %tbDouble -> tbDouble
missions/challengeoftime/npc.lua:492  %tbTalkDailyTask -> tbTalkDailyTask
missions/challengeoftime/item/chuangguanbaoxiang.lua:28  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/challengeoftime/item/chuangguanbaoxiang.lua:34  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/challengeoftime/item/chuangguanbaoxiang.lua:40  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/challengeoftime/item/chuangguanbaoxiang.lua:46  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/challengeoftime/item/chuangguanbaoxiang.lua:52  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/challengeoftime/item/chuangguanbaoxiang.lua:78  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/challengeoftime/item/chuangguanbaoxiang.lua:84  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/challengeoftime/item/chuangguanbaoxiang.lua:90  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/challengeoftime/item/chuangguanbaoxiang.lua:96  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/challengeoftime/item/chuangguanbaoxiang.lua:102  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/challengeoftime/item/chuangguanbaoxiang.lua:108  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/challengeoftime/item/chuangguanbaoxiang.lua:167  %TransLife6 -> TransLife6
missions/challengeoftime/item/chuangguanbaoxiang.lua:167  %TASK_ID_BOX -> TASK_ID_BOX
missions/challengeoftime/npc/dragonboat_main.lua:154  %TSK_Longxuewan_Date -> TSK_Longxuewan_Date
missions/challengeoftime/npc/dragonboat_main.lua:155  %TSK_Longxuewan_avail -> TSK_Longxuewan_avail
missions/challengeoftime/npc/dragonboat_main.lua:157  %TSK_Longxuewan_avail -> TSK_Longxuewan_avail
missions/challengeoftime/npc/dragonboat_main.lua:160  %TSK_Longxuewan_avail -> TSK_Longxuewan_avail
missions/fengling_ferry/fld_smalltimer.lua:13  %tbTalkDailyTask -> tbTalkDailyTask
missions/fengling_ferry/hd3_baoruongthuytac.lua:25  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/fengling_ferry/hd3_baoruongthuytac.lua:31  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/fengling_ferry/hd3_baoruongthuytac.lua:37  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/fengling_ferry/hd3_baoruongthuytac.lua:43  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/fengling_ferry/hd3_baoruongthuytac.lua:49  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/fengling_ferry/hd3_baoruongthuytac.lua:74  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/fengling_ferry/hd3_baoruongthuytac.lua:80  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/fengling_ferry/hd3_baoruongthuytac.lua:86  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/fengling_ferry/hd3_baoruongthuytac.lua:92  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/fengling_ferry/hd3_baoruongthuytac.lua:98  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/fengling_ferry/hd3_baoruongthuytac.lua:104  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/leaguematch/head.lua:986  function(...) -> + local arg = {n=select('#',...), ...}
missions/leaguematch/head.lua:994  function(...) -> + local arg = {n=select('#',...), ...}
missions/leaguematch/wlls_autoexec.lua:31  for _, tb in WLLS_NPC_CITY -> pairs(WLLS_NPC_CITY)
missions/leaguematch/wlls_autoexec.lua:38  for _, tb_data in WLLS_TAB -> pairs(WLLS_TAB)
missions/leaguematch/wlls_autoexec.lua:39  for _, tb_mtype in tb_data.match_type -> pairs(tb_data.match_type)
missions/leaguematch/wlls_autoexec.lua:40  for _, tb_group in tb_mtype.map -> pairs(tb_mtype.map)
missions/leaguematch/wlls_autoexec.lua:49  for _, tb_pos in tb_poss -> pairs(tb_poss)
missions/leaguematch/wlls_autoexec.lua:66  for _, tb_npc in tb_npcs -> pairs(tb_npcs)
missions/leaguematch/wlls_gmscript.lua:98  for n_idx, nGroupIdx in tb_sub -> pairs(tb_sub)
missions/leaguematch/wlls_gmscript.lua:124  for n_idx, nGroupIdx in tb_sub -> pairs(tb_sub)
missions/leaguematch/glbmission/combat.lua:15  for n_idx, nGroupIdx in tb_sub -> pairs(tb_sub)
missions/leaguematch/glbmission/schedule.lua:120  for _, nIdx in tbLGs[nOrgCamp].tbPlayer -> pairs(tbLGs[nOrgCamp].tbPlayer)
missions/leaguematch/glbmission/schedule.lua:134  for _, nIdx in tbLGs[nEmyCamp].tbPlayer -> pairs(tbLGs[nEmyCamp].tbPlayer)
missions/leaguematch/glbmission/schedule.lua:180  for n_idx, nGroupIdx in tb_sub -> pairs(tb_sub)
missions/leaguematch/glbmission/schedule.lua:194  for _, nCamp in tb_mstroop -> pairs(tb_mstroop)
missions/leaguematch/glbmission/schedule.lua:241  for n_idx, nGroupIdx in tb_sub -> pairs(tb_sub)
missions/leaguematch/item/hongyinbaoxiang.lua:17  %tbItem -> tbItem
missions/leaguematch/item/jindanbaoxiang.lua:16  %tbItem -> tbItem
missions/leaguematch/item/zhenjing.lua:25  %tbData -> tbData
missions/leaguematch/item/zhenjing.lua:48  %_AddBitTask -> _AddBitTask
missions/leaguematch/macthtype/normal.lua:117  for nMType, tbMType in tbData.match_type -> pairs(tbData.match_type)
missions/leaguematch/macthtype/normal.lua:118  for nGroup, tbGroup in tbMType.map -> pairs(tbMType.map)
missions/leaguematch/macthtype/normal.lua:134  for _, tbTopic in tmp_help -> pairs(tmp_help)
missions/leaguematch/npc/head.lua:42  for n_mtype, tb_mtaype in WLLS_TAB[n_type].match_type -> pairs(WLLS_TAB[n_type].match_type)
missions/leaguematch/npc/head.lua:179  function(...) -> + local arg = {n=select('#',...), ...}
